time,CAMS-CSM1-0,CESM2-WACCM,GFDL-ESM4,ACCESS-ESM1-5,CANESM5,EC-EARTH3-VEG,MRI-ESM2-0,IPSL-CM6A-LR,CESM2,MPI-ESM1-2-HR,BCC-CSM2-MR,FGOALS-F3-L,ACCESS-CM2,INM-CM4-8,INM-CM5-0,NORESM2-MM,EC-EARTH3
2020.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0
2021.0,7255772000000.0,7266749600000.0,7274132000000.0,7275135600000.0,7256058400000.0,7227264500000.0,7278519400000.0,7236881000000.0,7258953500000.0,7265419500000.0,7277511000000.0,7263718000000.0,7267095700000.0,7259841000000.0,7251811600000.0,7264879000000.0,7233699600000.0
2022.0,7238635000000.0,7257252000000.0,7255135000000.0,7252719700000.0,7205400600000.0,7178291000000.0,7263696700000.0,7204101000000.0,7231772000000.0,7245412700000.0,7266786300000.0,7226722000000.0,7237439000000.0,7242442600000.0,7238963400000.0,7256506000000.0,7172042000000.0
2023.0,7217669000000.0,7251895500000.0,7240426700000.0,7235869600000.0,7174989300000.0,7116891400000.0,7250485000000.0,7193521300000.0,7215061700000.0,7253727400000.0,7255117300000.0,7200618000000.0,7220372000000.0,7248931000000.0,7205054000000.0,7260527400000.0,7106704400000.0
2024.0,7211995000000.0,7233316300000.0,7231867000000.0,7208921000000.0,7120484300000.0,7080413000000.0,7238995400000.0,7161887000000.0,7190324700000.0,7216349300000.0,7226098000000.0,7183151400000.0,7201987500000.0,7230135500000.0,7168683700000.0,7249230600000.0,7031965000000.0
2025.0,7192535600000.0,7221734000000.0,7218290000000.0,7194003600000.0,7058055000000.0,7003373000000.0,7219864000000.0,7132863000000.0,7150330400000.0,7188519000000.0,7232191700000.0,7168808500000.0,7183118000000.0,7218825500000.0,7168708000000.0,7234454600000.0,6992173700000.0
2026.0,7174720300000.0,7212607500000.0,7193553300000.0,7172783600000.0,6965324400000.0,6942515300000.0,7184315300000.0,7116613500000.0,7109059500000.0,7155721000000.0,7212820000000.0,7162758000000.0,7168884500000.0,7208290500000.0,7152210500000.0,7222130000000.0,6919387000000.0
2027.0,7145978000000.0,7201260300000.0,7169448000000.0,7156744000000.0,6891287000000.0,6886947000000.0,7146966600000.0,7077263000000.0,7087185700000.0,7130574000000.0,7183336500000.0,7144269700000.0,7129779400000.0,7187293000000.0,7115181700000.0,7205503400000.0,6858584600000.0
2028.0,7111012000000.0,7207208400000.0,7146205000000.0,7139078000000.0,6816732300000.0,6807761700000.0,7106792000000.0,7041958500000.0,7060710000000.0,7093121700000.0,7165266000000.0,7125388000000.0,7091236000000.0,7177255000000.0,7081025000000.0,7194535300000.0,6805080000000.0
2029.0,7073296300000.0,7198666700000.0,7122260000000.0,7128346000000.0,6752224000000.0,6755232000000.0,7078556500000.0,7016119000000.0,7026325000000.0,7092306400000.0,7126665700000.0,7086275000000.0,7069117000000.0,7156806000000.0,7044277000000.0,7161847500000.0,6746329000000.0
2030.0,7056789600000.0,7192023000000.0,7104691700000.0,7107578000000.0,6693429700000.0,6701747500000.0,7021642000000.0,6997409000000.0,6994718000000.0,7069564400000.0,7122236500000.0,7069951300000.0,7029635000000.0,7149061000000.0,7005668000000.0,7132805000000.0,6688957500000.0
2031.0,7044948000000.0,7185998000000.0,7089924600000.0,7092492600000.0,6597346600000.0,6655101000000.0,6994975000000.0,6940324000000.0,6973197600000.0,7061465000000.0,7089461000000.0,7028282500000.0,6992438500000.0,7142437000000.0,6972499300000.0,7120416700000.0,6629798400000.0
