time,NORESM2-MM,EC-EARTH3,INM-CM4-8,INM-CM5-0,BCC-CSM2-MR,FGOALS-F3-L,MPI-ESM1-2-HR,CESM2,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,GFDL-ESM4
2010.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0
2011.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0
2012.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0
2013.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0
2014.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0
2015.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0
2016.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0
2017.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0
2018.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0
2019.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0
2020.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0
2021.0,7289285000000.0,7240657000000.0,7256206000000.0,7247676600000.0,7277438300000.0,7282842700000.0,7278880600000.0,7281745300000.0,7270714000000.0,7264285500000.0,7263353300000.0,7276383000000.0,7267402400000.0
2022.0,7289117000000.0,7194854600000.0,7241373000000.0,7221434000000.0,7259649000000.0,7259795000000.0,7261729600000.0,7243817000000.0,7266208600000.0,7240700400000.0,7243735000000.0,7273097000000.0,7259994700000.0
2023.0,7285716300000.0,7139598300000.0,7224795000000.0,7188772300000.0,7239588400000.0,7228292000000.0,7228321400000.0,7226736500000.0,7241089000000.0,7193416000000.0,7216911400000.0,7278805000000.0,7263220700000.0
2024.0,7279349300000.0,7074573500000.0,7198511500000.0,7173897000000.0,7222288000000.0,7211276000000.0,7213540000000.0,7229070600000.0,7215875000000.0,7150685000000.0,7186067500000.0,7261513000000.0,7260782000000.0
2025.0,7267531000000.0,7040456000000.0,7189050700000.0,7141654500000.0,7205219700000.0,7197941000000.0,7203019300000.0,7209281400000.0,7210717000000.0,7120081000000.0,7165346000000.0,7241546000000.0,7245720500000.0
2026.0,7242774500000.0,7005185000000.0,7177856000000.0,7112078400000.0,7179793000000.0,7194035600000.0,7181945500000.0,7198418000000.0,7197574600000.0,7084881500000.0,7141246000000.0,7232319700000.0,7230916000000.0
2027.0,7237938400000.0,6958938600000.0,7168020000000.0,7075318000000.0,7159990000000.0,7183786300000.0,7152733000000.0,7157609700000.0,7190183000000.0,7046296000000.0,7108690400000.0,7219677500000.0,7193065700000.0
2028.0,7214614000000.0,6920836000000.0,7150705000000.0,7045468700000.0,7147697500000.0,7147143000000.0,7127534400000.0,7127480000000.0,7144709600000.0,7012706000000.0,7093490000000.0,7218712300000.0,7165332000000.0
2029.0,7194825700000.0,6865165000000.0,7144191600000.0,7016561500000.0,7140369000000.0,7146512600000.0,7105162500000.0,7107193000000.0,7099830500000.0,6958774500000.0,7048174000000.0,7193611500000.0,7136277400000.0
2030.0,7188204500000.0,6816676000000.0,7142164000000.0,6983150700000.0,7137940000000.0,7107980600000.0,7099532700000.0,7068910000000.0,7068745500000.0,6928306000000.0,7031637000000.0,7193759300000.0,7116856000000.0
2031.0,7173988000000.0,6748482600000.0,7105823000000.0,6945219500000.0,7119811000000.0,7069529000000.0,7085113700000.0,7033427300000.0,7040079500000.0,6895472000000.0,7014325000000.0,7193698000000.0,7104725000000.0
2032.0,7170190000000.0,6695325000000.0,7091097000000.0,6916908000000.0,7083990000000.0,7051502000000.0,7075427500000.0,7002412500000.0,6971720700000.0,6865206400000.0,7000001300000.0,7176970000000.0,7100485000000.0
2033.0,7166388000000.0,6658616000000.0,7087256000000.0,6892590000000.0,7062127400000.0,7045859000000.0,7060276000000.0,6960817000000.0,6959889600000.0,6822478500000.0,6981778000000.0,7186726500000.0,7095560000000.0
2034.0,7146958000000.0,6595958000000.0,7064543000000.0,6884568300000.0,7030501300000.0,7007435000000.0,7018157000000.0,6930509600000.0,6920037000000.0,6772632000000.0,6957738500000.0,7160807000000.0,7057626400000.0
2035.0,7141355700000.0,6538491000000.0,7041926600000.0,6840911400000.0,7025015700000.0,6982026000000.0,7000115600000.0,6883176000000.0,6872147000000.0,6737875000000.0,6922576000000.0,7127361400000.0,7043566000000.0
2036.0,7120357000000.0,6482663300000.0,7027853600000.0,6806462500000.0,6998879000000.0,6961969000000.0,6988543000000.0,6849774500000.0,6838641000000.0,6718488000000.0,6903546000000.0,7115652500000.0,7046843300000.0
2037.0,7100000400000.0,6419792000000.0,6999979000000.0,6774166400000.0,6971579000000.0,6924543700000.0,6970013000000.0,6820880400000.0,6799951400000.0,6677280600000.0,6873383000000.0,7107283000000.0,7030901300000.0
2038.0,7082230700000.0,6337015600000.0,6972650300000.0,6730192000000.0,6953247400000.0,6892695300000.0,6956875500000.0,6796263600000.0,6720978400000.0,6648548600000.0,6853990300000.0,7071534700000.0,7018890000000.0
2039.0,7078490000000.0,6256174000000.0,6955447400000.0,6690928000000.0,6938974000000.0,6859361000000.0,6924893400000.0,6748136500000.0,6683635500000.0,6609314000000.0,6829451500000.0,7060741700000.0,6995177000000.0
2040.0,7068657000000.0,6164981000000.0,6943420700000.0,6659073000000.0,6914416000000.0,6811981700000.0,6901651000000.0,6725969000000.0,6627096300000.0,6546537000000.0,6805905000000.0,7040570000000.0,6974783600000.0
2041.0,7034663600000.0,6063598300000.0,6924880000000.0,6633053000000.0,6879986600000.0,6792627000000.0,6862885400000.0,6708975400000.0,6575909500000.0,6464048500000.0,6773577000000.0,7025916400000.0,6951631600000.0
2042.0,7049660300000.0,5982188500000.0,6921371000000.0,6616689000000.0,6845159700000.0,6773740700000.0,6818193000000.0,6645149600000.0,6527441700000.0,6397209000000.0,6740581500000.0,7002306000000.0,6931633000000.0
2043.0,7030776000000.0,5893516700000.0,6907502000000.0,6582615700000.0,6816237400000.0,6728765000000.0,6765433000000.0,6615172400000.0,6468832000000.0,6327347000000.0,6711939700000.0,6978161000000.0,6903881000000.0
2044.0,7031442400000.0,5803192400000.0,6881412600000.0,6560997700000.0,6776699000000.0,6677361300000.0,6750448000000.0,6581547000000.0,6410607300000.0,6263916700000.0,6682645600000.0,6981013700000.0,6895691600000.0
2045.0,7029859500000.0,5719169000000.0,6832520000000.0,6538721000000.0,6766427400000.0,6637965000000.0,6707616000000.0,6537961500000.0,6360536000000.0,6185237300000.0,6653410000000.0,6932645500000.0,6863286400000.0
2046.0,7025357500000.0,5632371500000.0,6799537700000.0,6493463600000.0,6738658500000.0,6597682700000.0,6655726600000.0,6495857500000.0,6319348600000.0,6130383000000.0,6634592000000.0,6921867000000.0,6838994000000.0
2047.0,7028811500000.0,5532911400000.0,6779707600000.0,6471017300000.0,6695099000000.0,6582920000000.0,6618452300000.0,6471495500000.0,6229888000000.0,6044574000000.0,6608840000000.0,6901778600000.0,6801268000000.0
2048.0,7014205000000.0,5436281500000.0,6755305000000.0,6435280000000.0,6665954400000.0,6547140000000.0,6589501000000.0,6441567500000.0,6166298000000.0,5970167600000.0,6580982000000.0,6859384000000.0,6763138000000.0
2049.0,6968898000000.0,5347118000000.0,6738970000000.0,6415319600000.0,6642364000000.0,6499612500000.0,6560362000000.0,6429577600000.0,6082679000000.0,5879760400000.0,6555870700000.0,6823825000000.0,6728040600000.0
2050.0,6954057000000.0,5247856500000.0,6716502600000.0,6347513400000.0,6614131000000.0,6464622000000.0,6534689500000.0,6397520500000.0,6000772000000.0,5777154000000.0,6530522400000.0,6809066700000.0,6702878400000.0
2051.0,6928633000000.0,5144557000000.0,6683069000000.0,6306833000000.0,6586699400000.0,6403008000000.0,6484915700000.0,6366909000000.0,5932669500000.0,5672363600000.0,6479603600000.0,6794329000000.0,6683404300000.0
2052.0,6899880700000.0,5053514000000.0,6650287600000.0,6260827000000.0,6528925400000.0,6367951700000.0,6443110500000.0,6312450600000.0,5855542000000.0,5578160600000.0,6448721400000.0,6787716600000.0,6626667400000.0
2053.0,6880732000000.0,4967177400000.0,6611990000000.0,6232283000000.0,6498356000000.0,6331165600000.0,6408434000000.0,6247460000000.0,5751008400000.0,5479960000000.0,6410574000000.0,6764463000000.0,6571074500000.0
2054.0,6847558300000.0,4866555500000.0,6561404600000.0,6193278000000.0,6466665700000.0,6296492000000.0,6340643700000.0,6204538500000.0,5676397500000.0,5360011000000.0,6373593000000.0,6717393000000.0,6515283500000.0
2055.0,6837457000000.0,4743026400000.0,6531380000000.0,6155631000000.0,6411273600000.0,6263033000000.0,6282464500000.0,6162878000000.0,5587785000000.0,5227298700000.0,6308681000000.0,6696935000000.0,6486629500000.0
2056.0,6824128400000.0,4641490700000.0,6500106400000.0,6097297500000.0,6355924000000.0,6235203000000.0,6258238700000.0,6097255000000.0,5498308000000.0,5111449000000.0,6276838300000.0,6672724000000.0,6464465300000.0
2057.0,6802403000000.0,4526105400000.0,6448134000000.0,6062041700000.0,6292506000000.0,6180033300000.0,6198368700000.0,6048116600000.0,5393506400000.0,5018084000000.0,6252110000000.0,6668709000000.0,6466354300000.0
2058.0,6772118000000.0,4401903700000.0,6401600000000.0,6030910000000.0,6202400000000.0,6135128500000.0,6127077600000.0,6008141000000.0,5272377000000.0,4915974000000.0,6205759600000.0,6641839000000.0,6428498000000.0
2059.0,6733326000000.0,4278243800000.0,6371165000000.0,5996780000000.0,6140114500000.0,6110578000000.0,6095779700000.0,5965151700000.0,5166447000000.0,4786139700000.0,6164112700000.0,6596447400000.0,6383167000000.0
2060.0,6688272000000.0,4159403000000.0,6346757000000.0,5959886300000.0,6067361700000.0,6075704000000.0,6051697500000.0,5916662400000.0,5082014300000.0,4652733000000.0,6134901000000.0,6574846000000.0,6351680400000.0
2061.0,6672189000000.0,4049750500000.0,6298755700000.0,5902415400000.0,6000239000000.0,6025776000000.0,6005702000000.0,5858697000000.0,4969393600000.0,4524382600000.0,6091635000000.0,6525189400000.0,6301050000000.0
2062.0,6648268600000.0,3929521500000.0,6253761300000.0,5857766000000.0,5936858000000.0,5993000000000.0,5933892600000.0,5780196600000.0,4895978600000.0,4370895700000.0,6055667400000.0,6515182000000.0,6257283400000.0
2063.0,6593521400000.0,3808148300000.0,6171401400000.0,5817392000000.0,5896645000000.0,5946416300000.0,5903276300000.0,5738671000000.0,4803170000000.0,4232648600000.0,6021840000000.0,6490720600000.0,6198940000000.0
2064.0,6558176500000.0,3675596300000.0,6119378400000.0,5761150000000.0,5855062000000.0,5901665700000.0,5868395000000.0,5682279500000.0,4718235000000.0,4069884200000.0,5968329400000.0,6422011600000.0,6161329300000.0
2065.0,6518537700000.0,3546697700000.0,6053645000000.0,5706402500000.0,5796049500000.0,5828922000000.0,5825202000000.0,5609251000000.0,4600704000000.0,3895544500000.0,5926241000000.0,6380606500000.0,6127984000000.0
2066.0,6486349000000.0,3403040000000.0,5966528000000.0,5661952300000.0,5735685000000.0,5781504000000.0,5777793000000.0,5538850000000.0,4500762400000.0,3701992800000.0,5909986700000.0,6317037000000.0,6069951000000.0
2067.0,6428172500000.0,3288125000000.0,5888474600000.0,5628930600000.0,5657326000000.0,5738935000000.0,5743118000000.0,5452331000000.0,4435171000000.0,3548587500000.0,5871983000000.0,6262125000000.0,6035879000000.0
2068.0,6377953600000.0,3175410800000.0,5844853300000.0,5576811600000.0,5579326600000.0,5705514000000.0,5693980500000.0,5404112000000.0,4330742000000.0,3400327200000.0,5809843000000.0,6212484000000.0,5974023000000.0
2069.0,6315712000000.0,3040881400000.0,5778702300000.0,5523458500000.0,5503995000000.0,5613116000000.0,5652432300000.0,5309010000000.0,4226119400000.0,3239277200000.0,5774584600000.0,6170038000000.0,5933776000000.0
2070.0,6238463000000.0,2915385200000.0,5713943000000.0,5460175000000.0,5470852000000.0,5511086300000.0,5602652700000.0,5223375000000.0,4112890200000.0,3084392000000.0,5685171000000.0,6089223400000.0,5864411000000.0
2071.0,6177548000000.0,2800487000000.0,5637920000000.0,5403749400000.0,5401871000000.0,5436812600000.0,5551471700000.0,5120823000000.0,3993488900000.0,2897915400000.0,5631966700000.0,6034720600000.0,5790740500000.0
2072.0,6140879400000.0,2675047000000.0,5570977300000.0,5349798000000.0,5347529500000.0,5337506600000.0,5505215400000.0,5067984300000.0,3907467600000.0,2707052000000.0,5592245000000.0,5965865000000.0,5734526400000.0
2073.0,6088740600000.0,2555666000000.0,5467121600000.0,5300100000000.0,5262974000000.0,5255587700000.0,5466988500000.0,5004745000000.0,3819123500000.0,2519737800000.0,5565712400000.0,5913645700000.0,5680415000000.0
2074.0,6012028000000.0,2442002000000.0,5360190000000.0,5250067500000.0,5168791300000.0,5155442000000.0,5422778400000.0,4907408000000.0,3698419800000.0,2335329500000.0,5505595500000.0,5842432000000.0,5615548000000.0
2075.0,5957905000000.0,2332275800000.0,5264326000000.0,5200760000000.0,5093623600000.0,5073445300000.0,5381209000000.0,4817700000000.0,3625194000000.0,2150150700000.0,5462913000000.0,5777994000000.0,5546603000000.0
2076.0,5875315000000.0,2234486000000.0,5196127700000.0,5153447500000.0,5015621600000.0,5009474000000.0,5338622000000.0,4754943500000.0,3506193000000.0,1984862400000.0,5417345000000.0,5740597000000.0,5450807000000.0
2077.0,5805799600000.0,2134879900000.0,5119294300000.0,5092901700000.0,4961798000000.0,4910179000000.0,5290593400000.0,4680624600000.0,3388860000000.0,1835963300000.0,5369225000000.0,5680753000000.0,5361154000000.0
2078.0,5761267700000.0,2033200800000.0,5068774400000.0,5038773600000.0,4912355000000.0,4839622300000.0,5240581500000.0,4610145600000.0,3284461400000.0,1709621900000.0,5324065500000.0,5612996000000.0,5281009000000.0
2079.0,5716710000000.0,1931761300000.0,5011082000000.0,4993431000000.0,4829728000000.0,4769246600000.0,5214063000000.0,4522341000000.0,3191721700000.0,1582330400000.0,5305375700000.0,5565458700000.0,5215436000000.0
2080.0,5665393000000.0,1827819700000.0,4924389700000.0,4927679000000.0,4733723500000.0,4683474000000.0,5183743500000.0,4431621000000.0,3073817700000.0,1448550000000.0,5245339400000.0,5533215500000.0,5160754000000.0
2081.0,5576777500000.0,1731187400000.0,4856078000000.0,4884069000000.0,4634424000000.0,4606425000000.0,5145326000000.0,4356173200000.0,2951760800000.0,1330126100000.0,5161165000000.0,5460391000000.0,5078593300000.0
2082.0,5519742000000.0,1634955800000.0,4759566000000.0,4827233000000.0,4556916000000.0,4529824000000.0,5107589600000.0,4268829000000.0,2855911800000.0,1217198700000.0,5115344000000.0,5421152600000.0,5026605400000.0
2083.0,5417062600000.0,1546741000000.0,4660742000000.0,4766738000000.0,4464335000000.0,4404763000000.0,5073296400000.0,4171653200000.0,2753360000000.0,1120558800000.0,5059709000000.0,5367995600000.0,4958200000000.0
2084.0,5346519000000.0,1464627400000.0,4556444000000.0,4699765000000.0,4361352400000.0,4330155700000.0,5030710000000.0,4097538500000.0,2658654700000.0,1040338060000.0,5005604600000.0,5301862000000.0,4893210000000.0
2085.0,5249961600000.0,1370663800000.0,4465483000000.0,4646835300000.0,4287841700000.0,4271946900000.0,4981766000000.0,4017064200000.0,2583359400000.0,956483440000.0,4977462300000.0,5211701000000.0,4862360000000.0
2086.0,5162305300000.0,1286386700000.0,4378590400000.0,4579324300000.0,4185368600000.0,4196280800000.0,4924962000000.0,3905248800000.0,2497458000000.0,879672400000.0,4935229000000.0,5114201400000.0,4807652000000.0
2087.0,5083704000000.0,1189912100000.0,4295199600000.0,4514321500000.0,4116301200000.0,4084645800000.0,4862497500000.0,3839539800000.0,2425009000000.0,797939300000.0,4907597000000.0,5033219300000.0,4750010500000.0
2088.0,5018531000000.0,1102616500000.0,4228269000000.0,4454770300000.0,4017904000000.0,4013823000000.0,4794788000000.0,3730697400000.0,2369932000000.0,708534100000.0,4870172600000.0,4957323400000.0,4663452600000.0
2089.0,4925959000000.0,1015885800000.0,4146283200000.0,4397078400000.0,3912669900000.0,3951008000000.0,4746127600000.0,3610047400000.0,2294305800000.0,636358300000.0,4831712400000.0,4906580000000.0,4600772400000.0
2090.0,4855618000000.0,938339000000.0,4057019200000.0,4333712200000.0,3825654800000.0,3894823400000.0,4658293600000.0,3518935600000.0,2223911200000.0,573294400000.0,4752049400000.0,4829147600000.0,4542550000000.0
2091.0,4724468000000.0,864664700000.0,3986003000000.0,4288010500000.0,3750507600000.0,3801501000000.0,4581879000000.0,3446603500000.0,2135600300000.0,508854370000.0,4676803000000.0,4763379300000.0,4463950000000.0
2092.0,4602925000000.0,794936300000.0,3899151000000.0,4229323300000.0,3670302800000.0,3732998200000.0,4521971000000.0,3380420800000.0,2067642400000.0,448358350000.0,4623374000000.0,4696830400000.0,4377044600000.0
2093.0,4506471400000.0,726137700000.0,3822253000000.0,4184504500000.0,3608943300000.0,3650295700000.0,4459662000000.0,3318638400000.0,1998652000000.0,398696150000.0,4569452500000.0,4634772500000.0,4318948500000.0
2094.0,4429607600000.0,663068200000.0,3733214500000.0,4128348800000.0,3562231800000.0,3595565800000.0,4402208300000.0,3245073200000.0,1945378600000.0,350268000000.0,4492199700000.0,4553884300000.0,4252292000000.0
2095.0,4330749700000.0,602151060000.0,3663307000000.0,4076926700000.0,3466264800000.0,3545650700000.0,4351170400000.0,3171557800000.0,1899781300000.0,303417800000.0,4406145000000.0,4480300000000.0,4207566700000.0
2096.0,4234432700000.0,548094300000.0,3608913600000.0,4020139200000.0,3397674900000.0,3475622300000.0,4303623600000.0,3079650100000.0,1851566600000.0,262803640000.0,4359480000000.0,4416135500000.0,4139506700000.0
2097.0,4112962300000.0,495652540000.0,3518969000000.0,3976610200000.0,3336166400000.0,3411580600000.0,4263651600000.0,3010178300000.0,1797184000000.0,228479930000.0,4321548000000.0,4318915700000.0,4100993000000.0
2098.0,4016674200000.0,447033340000.0,3420894300000.0,3929049700000.0,3270332400000.0,3328106000000.0,4205737100000.0,2950256000000.0,1737828700000.0,194163460000.0,4246517300000.0,4203188600000.0,4047686000000.0
2099.0,3907865800000.0,402060150000.0,3356476600000.0,3866962200000.0,3178259000000.0,3267977800000.0,4149664300000.0,2880278600000.0,1683118200000.0,168445500000.0,4192927200000.0,4113531100000.0,3979733600000.0
2100.0,3822367000000.0,361517420000.0,3289807800000.0,3810899300000.0,3122045000000.0,3203589700000.0,4082316000000.0,2827932400000.0,1637774500000.0,146617730000.0,4130521000000.0,4002799400000.0,3931280500000.0
