time,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,GFDL-ESM4
2085.0,4350501000000.0,3166267000000.0,5651547300000.0,6048972300000.0
2086.0,4304795600000.0,3118749000000.0,5623282400000.0,6037015400000.0
2087.0,4280551200000.0,3055902300000.0,5603775000000.0,6024370000000.0
2088.0,4253921600000.0,3007825800000.0,5598527600000.0,6024034500000.0
2089.0,4237579500000.0,2947316000000.0,5564539600000.0,5994269600000.0
2090.0,4205022800000.0,2887039000000.0,5552243000000.0,5989149000000.0
2091.0,4184072000000.0,2832763700000.0,5524734600000.0,5970463000000.0
2092.0,4166795000000.0,2773579700000.0,5527184000000.0,5951090000000.0
2093.0,4142617000000.0,2718530500000.0,5510545000000.0,5939153000000.0
2094.0,4120503000000.0,2655421500000.0,5500826000000.0,5927577600000.0
2095.0,4079083300000.0,2611489000000.0,5478829500000.0,5916594000000.0
2096.0,4059652200000.0,2562877800000.0,5464007400000.0,5902576400000.0
2097.0,4031047800000.0,2498674000000.0,5446005000000.0,5890639400000.0
2098.0,3990649800000.0,2440466000000.0,5428511000000.0,5883026000000.0
2099.0,3963457000000.0,2393401700000.0,5416727600000.0,5866200000000.0
2100.0,3923931300000.0,2344934000000.0,5412821700000.0,5847253000000.0
