time,INM-CM5-0,INM-CM4-8,EC-EARTH3,NORESM2-MM,CMCC-CM2-SR5,MPI-ESM1-2-HR,FGOALS-F3-L,BCC-CSM2-MR,MRI-ESM2-0,CESM2,GFDL-ESM4,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3-VEG
2026.0,7072642500000.0,7194540000000.0,7075349000000.0,7210052600000.0,7224781400000.0,7145141000000.0,7168796000000.0,7151870000000.0,7162139500000.0,7137646000000.0,7135754000000.0,7230152000000.0,7174137300000.0,7082192400000.0
2027.0,7041877300000.0,7183869700000.0,7042011000000.0,7204481000000.0,7193332500000.0,7118684000000.0,7137347500000.0,7143033400000.0,7118425000000.0,7120730000000.0,7090053600000.0,7214285000000.0,7174179000000.0,7016144700000.0
2028.0,7029554000000.0,7176278500000.0,7006721000000.0,7199104000000.0,7166590700000.0,7067643000000.0,7126207400000.0,7124192000000.0,7095279000000.0,7102595600000.0,7059126400000.0,7177252600000.0,7138664000000.0,6973419400000.0
2029.0,6991741700000.0,7148444600000.0,6959512000000.0,7183960400000.0,7130605700000.0,7044548500000.0,7089539000000.0,7097424500000.0,7053849000000.0,7073293700000.0,7039325600000.0,7159969500000.0,7116199300000.0,6937589000000.0
2030.0,6968072700000.0,7130669000000.0,6942477500000.0,7181386600000.0,7113983700000.0,7007730400000.0,7080323300000.0,7104460000000.0,7015362500000.0,7047905500000.0,7017633700000.0,7149590700000.0,7085865600000.0,6880296000000.0
2031.0,6927090000000.0,7120169000000.0,6917914600000.0,7172288700000.0,7112794600000.0,6988557700000.0,7061171600000.0,7060388000000.0,7003953000000.0,7038068300000.0,7008080600000.0,7146684500000.0,7073562000000.0,6830163500000.0
2032.0,6883511400000.0,7106135600000.0,6891122000000.0,7158339000000.0,7112164000000.0,6982417000000.0,7023737400000.0,7046874000000.0,6967257000000.0,7001155000000.0,6966577000000.0,7143621000000.0,7046998500000.0,6779176500000.0
2033.0,6879618000000.0,7070563000000.0,6870451400000.0,7141929000000.0,7071154600000.0,6967119000000.0,6999605500000.0,7048873400000.0,6946028000000.0,6972169000000.0,6946210400000.0,7115517000000.0,7033611400000.0,6747312400000.0
2034.0,6856008000000.0,7051140400000.0,6838868000000.0,7117403600000.0,7034917400000.0,6910733500000.0,6982985000000.0,7063445400000.0,6913750700000.0,6944362000000.0,6934994000000.0,7088892300000.0,7011430300000.0,6725440000000.0
2035.0,6829848400000.0,7018889300000.0,6800275000000.0,7092167500000.0,7007134000000.0,6899723000000.0,6951469600000.0,7020531400000.0,6901418000000.0,6929279000000.0,6913568300000.0,7066400300000.0,6997491600000.0,6673199000000.0
2036.0,6810620000000.0,7010837000000.0,6751309000000.0,7070373000000.0,6991973400000.0,6853127000000.0,6946199000000.0,6974939000000.0,6889011700000.0,6908385000000.0,6848049000000.0,7045315000000.0,6982026700000.0,6627736400000.0
2037.0,6776066000000.0,6985813000000.0,6710159700000.0,7048210000000.0,6952868400000.0,6820691000000.0,6910056600000.0,6966619000000.0,6862987000000.0,6893971400000.0,6797350000000.0,7043444000000.0,6974738000000.0,6589635400000.0
2038.0,6757807600000.0,6971895000000.0,6647419000000.0,7029325300000.0,6908079500000.0,6782702000000.0,6851595000000.0,6941957400000.0,6843188000000.0,6835785000000.0,6780370000000.0,7016240600000.0,6958224500000.0,6544096000000.0
2039.0,6732175600000.0,6965439000000.0,6611812000000.0,7017756000000.0,6873922700000.0,6771844300000.0,6831307000000.0,6925956000000.0,6786552000000.0,6788703300000.0,6744753300000.0,7003013000000.0,6928841300000.0,6511989000000.0
2040.0,6691912000000.0,6935612500000.0,6564936000000.0,7006217000000.0,6847547300000.0,6762939300000.0,6808309600000.0,6883478000000.0,6743262000000.0,6738285000000.0,6723732500000.0,7001923000000.0,6922108400000.0,6460041000000.0
2041.0,6658238000000.0,6913235000000.0,6525787600000.0,6998492000000.0,6838686300000.0,6754057300000.0,6765135000000.0,6867788000000.0,6684345000000.0,6709807400000.0,6693271400000.0,6969826000000.0,6908718600000.0,6412691000000.0
2042.0,6628808000000.0,6901982000000.0,6472416600000.0,6969130000000.0,6791985400000.0,6733351000000.0,6698108500000.0,6839985500000.0,6644723000000.0,6666817400000.0,6656361500000.0,6948971300000.0,6906501000000.0,6359440400000.0
2043.0,6609539400000.0,6887690500000.0,6395594300000.0,6906523400000.0,6748029000000.0,6732055600000.0,6642972000000.0,6834425400000.0,6584641500000.0,6628551000000.0,6629521000000.0,6956579300000.0,6884363300000.0,6286478400000.0
2044.0,6582464700000.0,6880069000000.0,6344173000000.0,6905615000000.0,6703127000000.0,6715318000000.0,6575455000000.0,6825692000000.0,6547203700000.0,6573207000000.0,6618172400000.0,6920370000000.0,6859908000000.0,6239166000000.0
2045.0,6548986300000.0,6849156300000.0,6274801000000.0,6886547500000.0,6656729500000.0,6696718600000.0,6510921400000.0,6797078000000.0,6484350000000.0,6536947000000.0,6580865600000.0,6880681000000.0,6830344000000.0,6170011000000.0
2046.0,6527357300000.0,6824577700000.0,6188984000000.0,6862497000000.0,6624160000000.0,6677456000000.0,6490151000000.0,6752342400000.0,6395079400000.0,6487905000000.0,6538379000000.0,6856445000000.0,6811945000000.0,6101952000000.0
2047.0,6500075000000.0,6801941600000.0,6083048000000.0,6820908000000.0,6567443300000.0,6647133500000.0,6461980000000.0,6734257600000.0,6322212300000.0,6457057000000.0,6495873000000.0,6838964700000.0,6788659000000.0,6020549000000.0
2048.0,6482443600000.0,6791199000000.0,5991580600000.0,6802250000000.0,6552540400000.0,6615689300000.0,6402454600000.0,6730585500000.0,6262491000000.0,6432807700000.0,6449510000000.0,6815577000000.0,6768062000000.0,5945949000000.0
2049.0,6441830000000.0,6772560500000.0,5921214300000.0,6806599000000.0,6510944500000.0,6601589700000.0,6322375400000.0,6707025500000.0,6209569600000.0,6396289000000.0,6411190300000.0,6781215400000.0,6748644600000.0,5854725000000.0
2050.0,6425947400000.0,6756460700000.0,5831679000000.0,6784196500000.0,6459248600000.0,6553764600000.0,6269530000000.0,6676782500000.0,6140782000000.0,6362710000000.0,6381480000000.0,6739849600000.0,6742825500000.0,5747944000000.0
2051.0,6410791300000.0,6749699000000.0,5705669500000.0,6748632000000.0,6388766000000.0,6517575000000.0,6225228000000.0,6636733700000.0,6070832000000.0,6333573600000.0,6343466400000.0,6700058000000.0,6731328400000.0,5662868000000.0
2052.0,6394928400000.0,6720483500000.0,5600041000000.0,6718396300000.0,6332898000000.0,6473849000000.0,6188211600000.0,6598944600000.0,5992861000000.0,6301101300000.0,6327796000000.0,6655179000000.0,6720886700000.0,5585374000000.0
2053.0,6369236000000.0,6688981000000.0,5478957000000.0,6690646000000.0,6243167000000.0,6442879300000.0,6154785700000.0,6574228000000.0,5901025000000.0,6250334000000.0,6289826000000.0,6613394000000.0,6687327500000.0,5496087000000.0
2054.0,6353358700000.0,6666909600000.0,5371990600000.0,6657650000000.0,6178365000000.0,6432158600000.0,6107633000000.0,6552400000000.0,5817142000000.0,6200790000000.0,6253891300000.0,6591762400000.0,6665007000000.0,5395344000000.0
2055.0,6323945600000.0,6642282000000.0,5271005000000.0,6632226000000.0,6098185600000.0,6398002000000.0,6015888000000.0,6513823000000.0,5716802000000.0,6134888400000.0,6226780000000.0,6571780700000.0,6639435400000.0,5295060300000.0
2056.0,6302162000000.0,6613571000000.0,5165249700000.0,6608011000000.0,6016325000000.0,6358517700000.0,5976866000000.0,6501171700000.0,5617319000000.0,6081395000000.0,6206338000000.0,6559104000000.0,6601028700000.0,5191371000000.0
2057.0,6272102400000.0,6565835300000.0,5059882000000.0,6559481500000.0,5937963000000.0,6308175000000.0,5954850000000.0,6472568000000.0,5529282000000.0,6011202000000.0,6163542000000.0,6520510000000.0,6567387700000.0,5075455000000.0
2058.0,6258982000000.0,6554686000000.0,4939011000000.0,6538911000000.0,5846367000000.0,6269326000000.0,5931165000000.0,6437371600000.0,5442996500000.0,5981257300000.0,6138808000000.0,6502406400000.0,6529371600000.0,4978687000000.0
2059.0,6231726000000.0,6526623000000.0,4838091000000.0,6511871000000.0,5762547400000.0,6228877000000.0,5894780000000.0,6393114000000.0,5384825000000.0,5913316000000.0,6083489300000.0,6464870000000.0,6500933000000.0,4875328400000.0
2060.0,6203287500000.0,6503986600000.0,4749106600000.0,6484403000000.0,5682079700000.0,6184596700000.0,5851969000000.0,6362127000000.0,5308265000000.0,5884818000000.0,6047313400000.0,6444318000000.0,6491779000000.0,4799097000000.0
2061.0,6157900400000.0,6490485700000.0,4631587000000.0,6461790400000.0,5603703400000.0,6135042000000.0,5797230000000.0,6326425000000.0,5217921000000.0,5817345000000.0,6012424700000.0,6423325000000.0,6454205000000.0,4725582300000.0
2062.0,6131534000000.0,6474542000000.0,4541065500000.0,6421181000000.0,5528161000000.0,6113518000000.0,5747163300000.0,6284176000000.0,5127479500000.0,5765411600000.0,5983367000000.0,6400536000000.0,6426807000000.0,4647647400000.0
2063.0,6095563700000.0,6414379500000.0,4448069400000.0,6391184000000.0,5441991500000.0,6087246000000.0,5689145000000.0,6265011000000.0,5063544700000.0,5722351000000.0,5954044000000.0,6364390000000.0,6419326000000.0,4554738000000.0
2064.0,6057267600000.0,6359981500000.0,4357465800000.0,6341126000000.0,5345723300000.0,6040927600000.0,5651497500000.0,6252132000000.0,4962715700000.0,5648471300000.0,5938279400000.0,6327433000000.0,6362578300000.0,4447497400000.0
2065.0,6022882700000.0,6328953000000.0,4270017700000.0,6330866700000.0,5259799000000.0,5991955000000.0,5600042300000.0,6235448400000.0,4869344000000.0,5569756300000.0,5900769700000.0,6288033400000.0,6331543600000.0,4326857600000.0
