time,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,MRI-ESM2-0,CANESM5
2000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0
2001.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0
2002.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0
2003.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0
2004.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0
2005.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0
2006.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0
2007.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0
2008.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0
2009.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0
2010.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0
2011.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0
2012.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0
2013.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0
2014.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0
2015.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0
2016.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0
2017.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0
2018.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0
2019.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0
2020.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0
2021.0,14516251000000.0,14549377000000.0,14529753000000.0,14544989000000.0,14518027000000.0,14578152000000.0
2022.0,14458699000000.0,14500509000000.0,14450588000000.0,14483265000000.0,14469535000000.0,14520369000000.0
2023.0,14372206000000.0,14451534000000.0,14401352000000.0,14416612000000.0,14353705000000.0,14485682000000.0
2024.0,14327947000000.0,14414204000000.0,14319555000000.0,14386534000000.0,14274465000000.0,14346581000000.0
2025.0,14301704000000.0,14329196000000.0,14245804000000.0,14276731000000.0,14198672000000.0,14231005000000.0
2026.0,14217514000000.0,14268349000000.0,14256984000000.0,14188276000000.0,14133067000000.0,14163932000000.0
2027.0,14156960000000.0,14198672000000.0,14179153000000.0,14161638000000.0,14076140000000.0,14115518000000.0
2028.0,14095180000000.0,14126685000000.0,14116165000000.0,14096718000000.0,14029471000000.0,14021087000000.0
2029.0,13992238000000.0,14063184000000.0,14046559000000.0,14016718000000.0,13990972000000.0,13933603000000.0
2030.0,13927068000000.0,13976548000000.0,13956704000000.0,13967946000000.0,13930631000000.0,13885036000000.0
2031.0,13873609000000.0,13892843000000.0,13848798000000.0,13893717000000.0,13855916000000.0,13824413000000.0
2032.0,13760870000000.0,13826524000000.0,13775870000000.0,13850936000000.0,13762454000000.0,13698239000000.0
2033.0,13670168000000.0,13761934000000.0,13719986000000.0,13748057000000.0,13695728000000.0,13617553000000.0
2034.0,13596531000000.0,13611239000000.0,13649639000000.0,13655543000000.0,13604692000000.0,13519446000000.0
2035.0,13570837000000.0,13524889000000.0,13556527000000.0,13580143000000.0,13536982000000.0,13447690000000.0
2036.0,13536491000000.0,13482473000000.0,13494844000000.0,13537165000000.0,13500263000000.0,13339537000000.0
2037.0,13465343000000.0,13392633000000.0,13414381000000.0,13481033000000.0,13424077000000.0,13249222000000.0
2038.0,13414241000000.0,13332064000000.0,13323964000000.0,13385731000000.0,13319032000000.0,13174920000000.0
2039.0,13291524000000.0,13255867000000.0,13235515000000.0,13281107000000.0,13230027000000.0,13121392000000.0
2040.0,13255450000000.0,13170796000000.0,13148585000000.0,13136584000000.0,13180449000000.0,13032867000000.0
2041.0,13202679000000.0,13093771000000.0,13085710000000.0,13041259000000.0,13084239000000.0,12949583000000.0
