time,CESM2-WACCM,CANESM5,MRI-ESM2-0,IPSL-CM6A-LR
2000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0
2001.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0
2002.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0
2003.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0
2004.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0
2005.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0
2006.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0
2007.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0
2008.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0
2009.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0
2010.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0
2011.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0
2012.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0
2013.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0
2014.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0
2015.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0
2016.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0
2017.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0
2018.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0
2019.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0
2020.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0
2021.0,14544989000000.0,14578152000000.0,14518027000000.0,14516251000000.0
2022.0,14483265000000.0,14520369000000.0,14469535000000.0,14458699000000.0
2023.0,14416612000000.0,14485682000000.0,14353705000000.0,14372206000000.0
2024.0,14386534000000.0,14346581000000.0,14274465000000.0,14327947000000.0
2025.0,14276731000000.0,14231005000000.0,14198672000000.0,14301704000000.0
2026.0,14188276000000.0,14163932000000.0,14133067000000.0,14217514000000.0
2027.0,14161638000000.0,14115518000000.0,14076140000000.0,14156960000000.0
2028.0,14096718000000.0,14021087000000.0,14029471000000.0,14095180000000.0
2029.0,14016718000000.0,13933603000000.0,13990972000000.0,13992238000000.0
2030.0,13967946000000.0,13885036000000.0,13930631000000.0,13927068000000.0
2031.0,13893244000000.0,13825267000000.0,13856034000000.0,13873383000000.0
2032.0,13851374000000.0,13699738000000.0,13762391000000.0,13759905000000.0
2033.0,13750088000000.0,13618363000000.0,13695153000000.0,13668607000000.0
2034.0,13659285000000.0,13520031000000.0,13603990000000.0,13594448000000.0
2035.0,13585323000000.0,13447820000000.0,13535197000000.0,13568062000000.0
2036.0,13544352000000.0,13339949000000.0,13498338000000.0,13533090000000.0
2037.0,13492172000000.0,13250045000000.0,13421634000000.0,13461082000000.0
2038.0,13400174000000.0,13175565000000.0,13316572000000.0,13408941000000.0
2039.0,13300109000000.0,13122631000000.0,13228610000000.0,13285418000000.0
2040.0,13160229000000.0,13034418000000.0,13179861000000.0,13248950000000.0
2041.0,13064401000000.0,12890942000000.0,13143202000000.0,13139628000000.0
2042.0,13009682000000.0,12736240000000.0,13022378000000.0,13069398000000.0
2043.0,12921425000000.0,12598402000000.0,12884404000000.0,12951112000000.0
2044.0,12823857000000.0,12514919000000.0,12779438000000.0,12859824000000.0
2045.0,12735060000000.0,12425426000000.0,12631958000000.0,12767364000000.0
2046.0,12624543000000.0,12306747000000.0,12530065000000.0,12671897000000.0
2047.0,12551000000000.0,12197278000000.0,12387560000000.0,12585530000000.0
2048.0,12481400000000.0,12099600000000.0,12222505000000.0,12466515000000.0
2049.0,12414972000000.0,12006149000000.0,12145441000000.0,12327447000000.0
2050.0,12290227000000.0,11908119000000.0,12058545000000.0,12258126000000.0
2051.0,12196013000000.0,11799730000000.0,11916373000000.0,12149061000000.0
2052.0,12082921000000.0,11629276000000.0,11782132000000.0,12086877000000.0
2053.0,11950227000000.0,11500045000000.0,11613306000000.0,11969458000000.0
2054.0,11841491000000.0,11385564000000.0,11469520000000.0,11876407000000.0
2055.0,11722101000000.0,11176202000000.0,11387104000000.0,11766954000000.0
2056.0,11585023000000.0,11085216000000.0,11253392000000.0,11710916000000.0
2057.0,11489795000000.0,10972447000000.0,11169661000000.0,11625022000000.0
2058.0,11369656000000.0,10826152000000.0,11034184000000.0,11535602000000.0
2059.0,11254849000000.0,10709674000000.0,10902576000000.0,11454546000000.0
2060.0,11150125000000.0,10565908000000.0,10804597000000.0,11365773000000.0
2061.0,11023293000000.0,10468377000000.0,10677575000000.0,11246631000000.0
2062.0,10899320000000.0,10330994000000.0,10591347000000.0,11123795000000.0
2063.0,10834037000000.0,10203220000000.0,10518316000000.0,10978808000000.0
2064.0,10765191000000.0,10116012000000.0,10396581000000.0,10891512000000.0
2065.0,10630262000000.0,9979193000000.0,10315010000000.0,10827419000000.0
2066.0,10551354000000.0,9878377000000.0,10238706000000.0,10744493000000.0
2067.0,10437682000000.0,9747794000000.0,10170744000000.0,10692995000000.0
2068.0,10323450000000.0,9658966000000.0,10094459000000.0,10577233000000.0
2069.0,10192280000000.0,9528826000000.0,10059864000000.0,10450740000000.0
2070.0,10053897000000.0,9421439000000.0,10025251000000.0,10317402000000.0
2071.0,9985505000000.0,9328615000000.0,9958904000000.0,10219535000000.0
2072.0,9916220000000.0,9249931000000.0,9857522000000.0,10123255000000.0
2073.0,9859843000000.0,9091386000000.0,9759579000000.0,10050820000000.0
2074.0,9756699000000.0,9039881000000.0,9676575000000.0,9941356000000.0
2075.0,9676678000000.0,8920860000000.0,9616788000000.0,9854257000000.0
2076.0,9565021000000.0,8803195000000.0,9531605000000.0,9761136000000.0
2077.0,9512429000000.0,8674411000000.0,9399720000000.0,9710848000000.0
2078.0,9414598000000.0,8590438000000.0,9365380000000.0,9641604000000.0
2079.0,9332172000000.0,8491027000000.0,9299839000000.0,9606774000000.0
2080.0,9241302000000.0,8430508600000.0,9209436000000.0,9526239000000.0
2081.0,9165055000000.0,8321549500000.0,9091924000000.0,9470845000000.0
2082.0,9111351000000.0,8225882600000.0,9032402000000.0,9402275000000.0
2083.0,9028029000000.0,8166438000000.0,8925670000000.0,9309271000000.0
2084.0,8952249000000.0,8097286300000.0,8858420000000.0,9223594000000.0
2085.0,8918077000000.0,8033604700000.0,8804345000000.0,9154583000000.0
2086.0,8849392000000.0,7974906000000.0,8752063000000.0,9098595000000.0
2087.0,8789481000000.0,7889865400000.0,8742558000000.0,9079070000000.0
2088.0,8717023600000.0,7829562300000.0,8709250000000.0,9001865000000.0
2089.0,8629423000000.0,7727400000000.0,8679144000000.0,8938456000000.0
2090.0,8565288300000.0,7678342500000.0,8628906000000.0,8882057000000.0
2091.0,8519624400000.0,7596209600000.0,8605434600000.0,8829004000000.0
2092.0,8485861300000.0,7537656000000.0,8564417500000.0,8784787000000.0
2093.0,8456821500000.0,7540689000000.0,8539902000000.0,8761051000000.0
2094.0,8386700600000.0,7466976000000.0,8490458300000.0,8682809000000.0
2095.0,8320849000000.0,7367617400000.0,8466754000000.0,8618646000000.0
2096.0,8261571400000.0,7335731300000.0,8423643500000.0,8557516000000.0
2097.0,8207802600000.0,7273487000000.0,8408901600000.0,8501577400000.0
2098.0,8172336000000.0,7213104500000.0,8349357000000.0,8457826000000.0
2099.0,8121219000000.0,7204436000000.0,8305867500000.0,8435624000000.0
2100.0,8070687600000.0,7125972500000.0,8266859000000.0,8395356000000.0
2101.0,8033781400000.0,7084764600000.0,8229320000000.0,8341118500000.0
2102.0,7962260000000.0,7023101500000.0,8216321700000.0,8299246000000.0
2103.0,7893548500000.0,6994155000000.0,8209890000000.0,8240432700000.0
2104.0,7863827000000.0,6955415000000.0,8214253400000.0,8180005000000.0
2105.0,7823001000000.0,6912185700000.0,8221196000000.0,8154055700000.0
2106.0,7785770000000.0,6893033000000.0,8217042600000.0,8119653500000.0
2107.0,7758066000000.0,6852512000000.0,8202593000000.0,8060465000000.0
2108.0,7722636000000.0,6796295500000.0,8190240000000.0,8014442500000.0
2109.0,7656400000000.0,6754273300000.0,8172140500000.0,7954044600000.0
2110.0,7622687000000.0,6720280600000.0,8152784000000.0,7909573400000.0
2111.0,7602077000000.0,6689888700000.0,8154131700000.0,7869320000000.0
2112.0,7559744000000.0,6676897000000.0,8150998600000.0,7880542500000.0
2113.0,7535595600000.0,6655867600000.0,8156002400000.0,7865038300000.0
2114.0,7498681500000.0,6609421000000.0,8131084600000.0,7820596000000.0
2115.0,7472313500000.0,6592155000000.0,8130966000000.0,7759876000000.0
2116.0,7443204500000.0,6604180000000.0,8121819000000.0,7741015300000.0
2117.0,7400476000000.0,6597245400000.0,8095914000000.0,7730280000000.0
2118.0,7374576300000.0,6569626400000.0,8080323500000.0,7700378300000.0
2119.0,7369138000000.0,6561272000000.0,8055453000000.0,7680167000000.0
2120.0,7355864400000.0,6550125000000.0,8062067000000.0,7673483000000.0
2121.0,7321871000000.0,6526850000000.0,8030123000000.0,7623436400000.0
2122.0,7296951000000.0,6484735000000.0,8023517400000.0,7611626000000.0
2123.0,7277610000000.0,6467061000000.0,8013164300000.0,7567633300000.0
2124.0,7282098700000.0,6479555000000.0,8002055000000.0,7512979400000.0
2125.0,7274905000000.0,6486317000000.0,7986169000000.0,7503528000000.0
2126.0,7261264500000.0,6495810400000.0,7969958300000.0,7473855000000.0
2127.0,7262656000000.0,6462572000000.0,7977928500000.0,7446330300000.0
2128.0,7257887600000.0,6459151000000.0,7997045600000.0,7401054400000.0
2129.0,7245823000000.0,6428380000000.0,8016110300000.0,7371387600000.0
2130.0,7235675600000.0,6405090700000.0,8012474000000.0,7317900000000.0
2131.0,7196697400000.0,6390837400000.0,7994786400000.0,7299435300000.0
2132.0,7197382000000.0,6357204000000.0,7998251500000.0,7292585500000.0
2133.0,7213434300000.0,6348076500000.0,8025904500000.0,7299321600000.0
2134.0,7172597500000.0,6364885700000.0,8028381000000.0,7289483300000.0
2135.0,7182721500000.0,6357386000000.0,8036044000000.0,7270024300000.0
2136.0,7205353000000.0,6343543500000.0,8059464000000.0,7258170000000.0
2137.0,7222696300000.0,6357333300000.0,8072436000000.0,7267950300000.0
2138.0,7210667000000.0,6384086000000.0,8073065000000.0,7233774000000.0
2139.0,7193202500000.0,6358084000000.0,8073101400000.0,7182323500000.0
2140.0,7182245400000.0,6356321400000.0,8053213600000.0,7164358300000.0
2141.0,7163211700000.0,6356379600000.0,8063857000000.0,7148802700000.0
