time,TAIESM1,MPI-ESM1-2-HR,NORESM2-MM,GFDL-ESM4,BCC-CSM2-MR,FGOALS-F3-L,ACCESS-CM2,IPSL-CM6A-LR,EC-EARTH3,ACCESS-ESM1-5,CMCC-CM2-SR5,MRI-ESM2-0,EC-EARTH3-VEG,CANESM5,INM-CM5-0,INM-CM4-8,CESM2,CAMS-CSM1-0,CESM2-WACCM
2010.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0
2011.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0
2012.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0
2013.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0
2014.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0
2015.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0
2016.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0
2017.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0
2018.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0
2019.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0
2020.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0
2021.0,47472357000.0,47355260000.0,48242000000.0,47799034000.0,47076180000.0,47114320000.0,47355412000.0,47085154000.0,46926110000.0,47661072000.0,47640293000.0,44777075000.0,48211180000.0,47303115000.0,47290716000.0,47334244000.0,47159615000.0,48935817000.0,48618630000.0
2022.0,46871100000.0,46250217000.0,46394920000.0,45722227000.0,45641640000.0,46301893000.0,46553180000.0,46887723000.0,46609814000.0,46188230000.0,47263285000.0,44438233000.0,48076810000.0,46266120000.0,46484607000.0,47055910000.0,45680656000.0,48275382000.0,48323060000.0
2023.0,45662302000.0,47558492000.0,45273840000.0,44953743000.0,42688324000.0,44097085000.0,45448933000.0,46410764000.0,45328744000.0,44106770000.0,46921600000.0,42566720000.0,46885335000.0,45641230000.0,45099230000.0,45964430000.0,45163680000.0,47895200000.0,47297004000.0
2024.0,45974000000.0,46214935000.0,44368180000.0,42894692000.0,41312465000.0,42535640000.0,44358510000.0,45462995000.0,44787370000.0,41110946000.0,45952344000.0,41355235000.0,46273930000.0,44400144000.0,42826174000.0,45491180000.0,43729002000.0,47148093000.0,48075526000.0
2025.0,45077737000.0,45355577000.0,43085455000.0,42047095000.0,39498998000.0,41524090000.0,41224077000.0,43952136000.0,43735590000.0,39004234000.0,44852036000.0,39706636000.0,45247963000.0,43134330000.0,41613410000.0,45012914000.0,42276420000.0,46459490000.0,46499762000.0
2026.0,42817130000.0,45040240000.0,42909876000.0,40950670000.0,37609333000.0,41208070000.0,38552252000.0,43770190000.0,42767032000.0,37020960000.0,44221207000.0,38653116000.0,44124815000.0,42332054000.0,40239616000.0,43169616000.0,41847650000.0,44771082000.0,45515026000.0
2027.0,41230040000.0,45896260000.0,41233980000.0,40595243000.0,35952500000.0,39625300000.0,37403990000.0,43325430000.0,41998307000.0,35544130000.0,42464575000.0,37436064000.0,42420950000.0,41265970000.0,39148450000.0,41438405000.0,40463938000.0,44690290000.0,44482300000.0
2028.0,40485770000.0,47778857000.0,39462474000.0,39768090000.0,35691856000.0,38472585000.0,36272964000.0,43186050000.0,39910500000.0,34369585000.0,40989094000.0,36162840000.0,41542530000.0,39723730000.0,38425730000.0,39176990000.0,38833676000.0,45067125000.0,43060396000.0
2029.0,40330480000.0,47123845000.0,38000976000.0,39203172000.0,33946298000.0,37968708000.0,34863317000.0,41716417000.0,40605684000.0,33390160000.0,39684473000.0,34566940000.0,41741860000.0,39278010000.0,38275682000.0,37383786000.0,37102113000.0,43860480000.0,41235833000.0
2030.0,39238767000.0,45607650000.0,36337340000.0,37629997000.0,33561922000.0,36606870000.0,34067094000.0,40476766000.0,39932060000.0,32405650000.0,39185890000.0,32217166000.0,39837684000.0,38102524000.0,35873735000.0,36229350000.0,35630570000.0,43128558000.0,40246764000.0
2031.0,36803842000.0,47045255000.0,35406740000.0,36452400000.0,32155260000.0,35775525000.0,32257855000.0,40567747000.0,38171374000.0,31174412000.0,38773363000.0,31329655000.0,39469494000.0,37459380000.0,33497231000.0,35446723000.0,33725975000.0,42602635000.0,38676350000.0
2032.0,35626060000.0,47192265000.0,34143033000.0,35474764000.0,31893860000.0,35003023000.0,31970836000.0,39119450000.0,37406650000.0,30611730000.0,37940216000.0,30354895000.0,38702100000.0,35047334000.0,31764525000.0,32948345000.0,31686620000.0,42367080000.0,38928390000.0
2033.0,33881844000.0,45330620000.0,32799330000.0,35181384000.0,30591812000.0,34483552000.0,31296061000.0,38309840000.0,37322433000.0,29366739000.0,36414194000.0,30680111000.0,37602288000.0,33661188000.0,30784400000.0,32790480000.0,30615044000.0,41013570000.0,36835074000.0
2034.0,33407801000.0,43710820000.0,31901325000.0,33936163000.0,29027890000.0,33720322000.0,30012924000.0,38036832000.0,36485235000.0,28380527000.0,34342474000.0,29112791000.0,36328067000.0,32350898000.0,29290000000.0,30712097000.0,29180842000.0,40891460000.0,35849044000.0
2035.0,32677444000.0,42294678000.0,30214150000.0,32745157000.0,28325069000.0,34329459000.0,28659145000.0,37768425000.0,34562134000.0,27131718000.0,32074154000.0,27667847000.0,34301313000.0,31467135000.0,28643992000.0,29833228000.0,27842500000.0,41408033000.0,34863500000.0
2036.0,31491630000.0,42133680000.0,29598550000.0,31088920000.0,27032736000.0,34418823000.0,27506792000.0,36100833000.0,33530862000.0,26255534000.0,30704462000.0,26108033000.0,32828900000.0,30198130000.0,28213354000.0,29266737000.0,26643007000.0,40734460000.0,33497188000.0
2037.0,30355360000.0,41898828000.0,28984916000.0,29668284000.0,26454032000.0,33755585000.0,25668830000.0,34539647000.0,32985997000.0,25295667000.0,29671774000.0,25338898000.0,31511908000.0,28827118000.0,26905475000.0,28838793000.0,24375128000.0,40107130000.0,33677660000.0
2038.0,29936170000.0,42769610000.0,27006908000.0,27853466000.0,25218716000.0,32840751000.0,24460446000.0,33342945000.0,31689077000.0,24304593000.0,28631656000.0,24965915000.0,30490384000.0,27151823000.0,26101975000.0,27205052000.0,22975066000.0,39822460000.0,32294312000.0
2039.0,27875332000.0,43186414000.0,26063366000.0,26962571000.0,23875110000.0,32687080000.0,23172354000.0,31992730000.0,30526073000.0,23789902000.0,27457638000.0,24039390000.0,29274132000.0,26825630000.0,25112711000.0,26059555000.0,21911792000.0,38976668000.0,30955039000.0
2040.0,26995511000.0,43229905000.0,24936219000.0,25785300000.0,22429592000.0,31783959000.0,22289707000.0,31144310000.0,29409384000.0,22846601000.0,26567199000.0,23762700000.0,28651033000.0,25504483000.0,24632590000.0,25715302000.0,21023496000.0,37870390000.0,29258670000.0
2041.0,25343255000.0,42329158000.0,24501885000.0,25359280000.0,21175069000.0,31171025000.0,21196587000.0,30501732000.0,28657736000.0,22072020000.0,26166469000.0,22823694000.0,26457833000.0,24287508000.0,24122446000.0,24903459000.0,19628749000.0,37522980000.0,27907265000.0
2042.0,24896156000.0,43040380000.0,23832620000.0,24791073000.0,19728843000.0,30403690000.0,20772385000.0,29226465000.0,27714669000.0,20942223000.0,24891933000.0,22569950000.0,25689645000.0,23408642000.0,23944250000.0,23581100000.0,18508540000.0,37012740000.0,27078259000.0
2043.0,24418687000.0,41796805000.0,22569169000.0,24286812000.0,18410252000.0,28669032000.0,19104400000.0,27441383000.0,26856653000.0,20453773000.0,23984990000.0,21977065000.0,25224022000.0,22545900000.0,23712033000.0,22171023000.0,17620206000.0,35569630000.0,26334900000.0
2044.0,23730370000.0,42455794000.0,21477822000.0,23650000000.0,17321490000.0,28387369000.0,18399922000.0,26929891000.0,25467568000.0,19604939000.0,23054385000.0,21472872000.0,24248943000.0,20477354000.0,22939224000.0,20712643000.0,16134729000.0,35996540000.0,24732790000.0
2045.0,23013000000.0,42193400000.0,21438230000.0,23266744000.0,17282020000.0,27262837000.0,17895487000.0,26125877000.0,23579090000.0,18918382000.0,21949438000.0,20605628000.0,24332980000.0,20122733000.0,22395695000.0,19753482000.0,14848588000.0,34226199000.0,23023002000.0
2046.0,21714162000.0,41147556000.0,20987210000.0,22037185000.0,16624514000.0,26055690000.0,17050487000.0,25006668000.0,22282955000.0,18155024000.0,21261502000.0,19828259000.0,22997680000.0,19054574000.0,21900438000.0,19189213000.0,13838690000.0,32286090000.0,22542221000.0
2047.0,20498390000.0,41152295000.0,20579232000.0,21177848000.0,16000485000.0,25561844000.0,16358054000.0,23613143000.0,22025552000.0,16975657000.0,20737671000.0,19774523000.0,21830340000.0,17841848000.0,20721328000.0,18418110000.0,13186701000.0,31054907000.0,20494182000.0
2048.0,19246221000.0,40773390000.0,20010562000.0,20568685000.0,15754226000.0,25428302000.0,15361245000.0,22606502000.0,21206956000.0,15910466000.0,20136612000.0,19528843000.0,21646803000.0,17492122000.0,19995445000.0,17859447000.0,12377414000.0,30453303000.0,19011434000.0
2049.0,18129810000.0,39441450000.0,19047907000.0,20312738000.0,14622812000.0,24468680000.0,14676870000.0,21070320000.0,20412678000.0,15244318000.0,18240676000.0,18917634000.0,20870200000.0,16437878000.0,19658512000.0,16871860000.0,11985726000.0,29724230000.0,18696300000.0
2050.0,17118041000.0,37827736000.0,18268480000.0,19912670000.0,14037548000.0,23442276000.0,13816223000.0,19888855000.0,19866050000.0,14572865000.0,17411010000.0,18631039000.0,20193395000.0,15819231000.0,18390016000.0,16387788000.0,11175079000.0,29032385000.0,18075159000.0
2051.0,16123873000.0,35782267000.0,17289015000.0,19091610000.0,13419405000.0,22961529000.0,13287812000.0,19010170000.0,19275741000.0,13652356000.0,16293642000.0,18823328000.0,19230468000.0,15093199000.0,17915175000.0,16224550000.0,11081417000.0,27763251000.0,16770345000.0
2052.0,15338466000.0,35289174000.0,16180884000.0,18544773000.0,12806532000.0,21538410000.0,12385083000.0,18162307000.0,18626308000.0,12965830000.0,14929763000.0,18316575000.0,18578297000.0,14683253000.0,17230926000.0,16430915000.0,10705761000.0,24948265000.0,15734145000.0
2053.0,14519450000.0,34028683000.0,15404231000.0,17725745000.0,11702918000.0,21197939000.0,11288004000.0,17633470000.0,18010378000.0,12582487000.0,14206926000.0,17975722000.0,17638160000.0,13977336000.0,16440290000.0,16065272000.0,10250552000.0,23578116000.0,14308088000.0
2054.0,13705720000.0,32323564000.0,14787450000.0,16888511000.0,11237441000.0,21167405000.0,10725808000.0,16648865000.0,17162487000.0,12474198000.0,13495015000.0,17633710000.0,17201687000.0,13747486000.0,15325139000.0,15586898000.0,9326576000.0,23377674000.0,13915375000.0
2055.0,13454171000.0,31066597000.0,13681018000.0,16787456000.0,10575394000.0,20052795000.0,10566606000.0,15578962000.0,16331314000.0,11965348000.0,12777148000.0,17163127000.0,16714236000.0,13675939000.0,14512293000.0,15121200000.0,8994682000.0,21623820000.0,13247996000.0
2056.0,12979086000.0,29759898000.0,12887390000.0,16229328000.0,10208912000.0,20112925000.0,10294052000.0,14371820000.0,15903294000.0,11592332000.0,11829327000.0,16533799000.0,15798240000.0,13620604000.0,14289763000.0,14918017000.0,8452267000.0,20997585000.0,12422253000.0
2057.0,12466492000.0,28371818000.0,12164101000.0,15043945000.0,9739321000.0,19455357000.0,9562799000.0,13400484000.0,15602677000.0,11285345000.0,11306197000.0,16056605000.0,15494605000.0,12784896000.0,13907031000.0,14075280000.0,8121978000.0,21469557000.0,11362488000.0
2058.0,11690395000.0,26257398000.0,11355349000.0,14529770000.0,9311433000.0,18227612000.0,9043863000.0,12956383000.0,15064576000.0,11027070000.0,10658454000.0,15662419000.0,14563026000.0,12674088000.0,13429187000.0,13412529000.0,7564808700.0,20109302000.0,10844905000.0
2059.0,10985576000.0,25463470000.0,11125091000.0,13513383000.0,9049325000.0,17593326000.0,8419414000.0,12055806000.0,14137497000.0,10541609000.0,9804145000.0,15433482000.0,14205360000.0,11787156000.0,12386440000.0,12698860000.0,7092020700.0,18837262000.0,9856766000.0
2060.0,10675508000.0,22662207000.0,10806611000.0,13010350000.0,9091760000.0,16833841000.0,7848540700.0,11361527000.0,13788087000.0,10253981000.0,8968721000.0,14683519000.0,14027716000.0,11130683000.0,11842457000.0,12145417000.0,6882410000.0,18609715000.0,9441532000.0
2061.0,9921658000.0,22145751000.0,10473898000.0,12457157000.0,8839225000.0,15815136000.0,7593802000.0,10942067000.0,13633231000.0,10151717000.0,8302163500.0,14185684000.0,13443373000.0,10701261000.0,11331977000.0,11564643000.0,6563728000.0,18105809000.0,9016356000.0
2062.0,9159568000.0,20767853000.0,9814524000.0,11845702000.0,8514031600.0,15224898000.0,7144886000.0,10433298000.0,13327802000.0,9800699000.0,7897241600.0,13371903000.0,13072954000.0,10274857000.0,10850431000.0,11208851000.0,6061178400.0,17365981000.0,8569241600.0
2063.0,8430110700.0,20321411000.0,9438791000.0,11225503000.0,8439154700.0,14951606000.0,6864924700.0,9888649000.0,12236897000.0,9360989000.0,7483016000.0,12723818000.0,11892622000.0,9876903000.0,10694711000.0,11293075000.0,5553467000.0,16309117000.0,8027697700.0
2064.0,7753401000.0,19110365000.0,9087969000.0,11046263000.0,7959721500.0,14275955000.0,6685251000.0,9474384000.0,11624946000.0,9006684000.0,7120931300.0,12623212000.0,11069046000.0,9455644000.0,10071629000.0,10910460000.0,5377403400.0,15807866000.0,7567030300.0
2065.0,6995316700.0,18258455000.0,9062505000.0,10716381000.0,7673313300.0,14079838000.0,6437996500.0,8795959000.0,11186820000.0,8613734000.0,6469548500.0,12318428000.0,10674963000.0,9004609000.0,9730864000.0,10536214000.0,5218575000.0,15914145000.0,7253825000.0
2066.0,6609784300.0,17534628000.0,8750931000.0,9960308000.0,7473421300.0,13529779000.0,6268417500.0,8232539600.0,10208525000.0,8066362000.0,5981756400.0,12041397000.0,10207396000.0,8425509000.0,9583394000.0,10197382000.0,5088511000.0,15553096000.0,7001982000.0
2067.0,6015723000.0,16566280000.0,8297700000.0,9254397000.0,7154831400.0,12609128000.0,5878212600.0,7767191000.0,9605841000.0,7669382700.0,5644207000.0,11303998000.0,10068353000.0,7983031000.0,9404406000.0,9837539000.0,4912230000.0,15287869000.0,6785835500.0
2068.0,5659755000.0,15487376000.0,8419716600.0,8740916000.0,6406648000.0,11487605000.0,5710328000.0,7244206000.0,9256539000.0,7372998000.0,5271535000.0,10388813000.0,9722307000.0,7721400000.0,9080275000.0,9569033000.0,4517943000.0,14637076000.0,6297057300.0
2069.0,5427834400.0,14420297000.0,8141132000.0,8095539700.0,6210713000.0,10496280000.0,5543580000.0,7033914000.0,8919571000.0,7254896600.0,5055772000.0,10036900000.0,9125453000.0,7278158300.0,8483253000.0,9009619000.0,4315504000.0,13923954000.0,6005652500.0
2070.0,5015672000.0,13628341000.0,7743663000.0,8115050000.0,5935466500.0,9881144000.0,5223936000.0,6445151700.0,8208042000.0,6974552000.0,4717879300.0,9512609000.0,8715977000.0,6778586600.0,7881043500.0,8647396000.0,4075630300.0,13762957000.0,5630762000.0
2071.0,4676077000.0,12709286000.0,7453455000.0,7848788500.0,5290410500.0,9164023000.0,4638870000.0,5925620700.0,7730676000.0,6669253600.0,4414858000.0,9242259000.0,7873154000.0,6366882300.0,7663533600.0,8304943000.0,4000541400.0,12872006000.0,5313613000.0
2072.0,4512874500.0,12080682000.0,6900562400.0,7529462000.0,4858067000.0,8311523300.0,4502899700.0,5685649000.0,7187095600.0,6240848400.0,4064340000.0,8905446000.0,7220221400.0,6233951700.0,7208920000.0,8114622000.0,3780641800.0,12377897000.0,5053226500.0
2073.0,4219622400.0,11547192000.0,6390565400.0,7405040600.0,4545538000.0,8272839000.0,4504299500.0,5321156000.0,6550072300.0,5666356000.0,3679298800.0,8466584600.0,7080725500.0,5613904400.0,7036134000.0,7745859000.0,3452406000.0,11930728000.0,4720887300.0
2074.0,3964497200.0,11119546000.0,5998445000.0,7136576000.0,4383414000.0,8046826000.0,4472626000.0,5185190000.0,6419508700.0,5380494000.0,3416506600.0,7789605400.0,7109446700.0,5076720600.0,6935792600.0,7542473000.0,3228051000.0,12123399000.0,4603135000.0
2075.0,3616714200.0,10549552000.0,5566776000.0,6740230000.0,3901147000.0,7441994000.0,4396469000.0,4898279400.0,5991560700.0,5101917700.0,3231132200.0,7625427500.0,6886045700.0,4686563300.0,6683179000.0,7304231400.0,3094432500.0,12654387000.0,4403158000.0
2076.0,3603590700.0,9648341000.0,5254831600.0,6617731600.0,3656337700.0,7021114000.0,4182844400.0,4511415000.0,5580863500.0,4939449300.0,2913976600.0,7496651000.0,6435378000.0,4307313700.0,6572589600.0,7026194000.0,2925375500.0,12547802000.0,4230914800.0
2077.0,3405286100.0,9325763000.0,4814899000.0,6390048000.0,3606345500.0,6527095000.0,3977833000.0,4108047400.0,5005662700.0,4715377700.0,2807793000.0,7187984400.0,6073266700.0,3821478400.0,6621822500.0,6414461400.0,2760633300.0,12255012000.0,3891135700.0
2078.0,3114033400.0,8788752000.0,4355961300.0,6076597000.0,3277643300.0,6215736300.0,3728515600.0,3819211000.0,4485341700.0,4601561000.0,2742003200.0,6846270000.0,5611845600.0,3789376500.0,6556726300.0,5994567000.0,2483292000.0,11511355000.0,3631677000.0
2079.0,3019404000.0,8060061000.0,3971719400.0,5879656400.0,3180663000.0,6068773000.0,3505067000.0,3586805000.0,4178524200.0,4219997700.0,2571660800.0,6327936000.0,5377914400.0,3717314800.0,6464292000.0,5635663400.0,2248559400.0,11261988000.0,3236321500.0
2080.0,2796080400.0,7780128300.0,3585575000.0,5758177000.0,2977312800.0,5826610000.0,3390495000.0,3290127600.0,4010792700.0,3882122200.0,2487158000.0,5805680000.0,4842917000.0,3328738000.0,6385233000.0,5546814000.0,2169470500.0,10893543000.0,3164138200.0
2081.0,2587602200.0,7239838700.0,3270740700.0,5558447000.0,2770915000.0,5420923400.0,3350278700.0,3029231400.0,3622405600.0,3542749200.0,2427210800.0,5535026000.0,4546980000.0,3152782000.0,5987404300.0,5061645300.0,2037466600.0,10564388000.0,3067902700.0
2082.0,2507272000.0,6736780300.0,2961332000.0,5479098400.0,2509020000.0,5219156500.0,3185573000.0,2720156200.0,3385586400.0,3409857000.0,2238438000.0,5385533000.0,4056522000.0,2976149500.0,5877433000.0,4981090300.0,1896748400.0,10233970000.0,2882473500.0
2083.0,2455640800.0,6511259600.0,2684922000.0,5285011000.0,2344644400.0,5007785000.0,3145716000.0,2571468000.0,3205756700.0,3078058800.0,2072438900.0,5130609000.0,3579828200.0,2690878500.0,5857481000.0,4783578000.0,1787295700.0,9899733000.0,2570607000.0
2084.0,2295364400.0,6262010400.0,2605163300.0,4976003000.0,2185512200.0,4776389000.0,2986098400.0,2380838000.0,3015265800.0,2895081000.0,1878981900.0,4838196000.0,3327383800.0,2459774700.0,5835028500.0,4478416000.0,1679584300.0,9437740000.0,2480522200.0
2085.0,2198720800.0,5918583000.0,2411783000.0,4894013400.0,2022025900.0,4332910000.0,2609850400.0,2227753700.0,2859516000.0,2763204400.0,1788336000.0,4655671300.0,3169814500.0,2298026000.0,5511846400.0,4082712800.0,1540737700.0,9131233000.0,2402689000.0
2086.0,2140340000.0,5566121000.0,2263374800.0,4700662300.0,1923458400.0,4028874200.0,2535526700.0,2048509000.0,2714394400.0,2631179500.0,1661676300.0,4562485000.0,2811605200.0,2021874800.0,5233438000.0,3858837800.0,1468143600.0,8614138000.0,2202395000.0
2087.0,1987182300.0,5070523400.0,2232282600.0,4420497000.0,1812374400.0,3673802200.0,2285465600.0,1777192400.0,2500016600.0,2457903000.0,1555639200.0,4374540000.0,2612855300.0,1686347000.0,4995442700.0,3660729900.0,1365221200.0,8146894300.0,1934130000.0
2088.0,1832886700.0,4795007000.0,2173236500.0,4069489400.0,1737263200.0,3268443100.0,2014288000.0,1654779100.0,2351080000.0,2300003800.0,1390941400.0,4031787800.0,2415726800.0,1444164700.0,4670081000.0,3460825600.0,1277107300.0,7994258000.0,1887795700.0
2089.0,1650256300.0,4636642300.0,2098255000.0,3850154000.0,1658019500.0,3146907600.0,1807731200.0,1489321200.0,1970353800.0,2243424500.0,1258725400.0,3839828700.0,2324580600.0,1368595100.0,4330089500.0,3385936000.0,1173323800.0,7728632000.0,1776954800.0
2090.0,1520175600.0,4380468000.0,1967439600.0,3633483500.0,1569780400.0,2955446500.0,1724147600.0,1336587100.0,1666747100.0,2156516600.0,1160543900.0,3500695800.0,2030267400.0,1226205300.0,4097961000.0,3481790500.0,1146863500.0,7389742600.0,1682961300.0
2091.0,1494523300.0,3967435000.0,2012269000.0,3570592300.0,1569625300.0,2648347600.0,1498506400.0,1163408900.0,1679653600.0,2016626800.0,1104885200.0,3453357000.0,1803590300.0,1078878300.0,4038250800.0,3395744000.0,967861700.0,7083609600.0,1431691500.0
2092.0,1332137500.0,3723366000.0,1883669800.0,3308853000.0,1478451200.0,2443789000.0,1297021300.0,1010230400.0,1602327600.0,1984886800.0,1004792000.0,3243766800.0,1666389100.0,1013312830.0,3885009700.0,3402404000.0,915245630.0,7074721300.0,1355163000.0
2093.0,1215054200.0,3434292200.0,1688662500.0,3065869000.0,1431256300.0,2249170200.0,1225688400.0,914121900.0,1511277800.0,1948552400.0,920162600.0,3128364500.0,1506309600.0,964695200.0,3527814100.0,3198125800.0,905772700.0,6874113000.0,1284571600.0
2094.0,1089870000.0,3089572000.0,1521481500.0,3091752200.0,1332779500.0,1989728000.0,1033948000.0,822077760.0,1359308800.0,1894022000.0,902402700.0,3019950800.0,1303724800.0,812153800.0,3598371000.0,3046390300.0,855952300.0,6576456700.0,1239384200.0
2095.0,1044997600.0,2901406000.0,1456274700.0,2876811000.0,1186863000.0,1831621000.0,891525800.0,733576300.0,1273478700.0,1902489100.0,805016000.0,2772192800.0,1213666300.0,676008800.0,3411553300.0,2817689300.0,839189950.0,6074780700.0,1114437400.0
2096.0,949267460.0,2766688800.0,1349685900.0,2661832400.0,1229519100.0,1743818200.0,766932600.0,648978560.0,1210456600.0,1879298600.0,808241500.0,2782311400.0,1094670100.0,599033860.0,3193657900.0,2619398700.0,792021250.0,5914474500.0,1076374700.0
2097.0,833564900.0,2637929700.0,1274382200.0,2529810200.0,1163610200.0,1605794700.0,788540700.0,579282200.0,1134741000.0,1813213700.0,783005760.0,2749834000.0,934666750.0,577275800.0,2960497700.0,2476580600.0,685220600.0,5602552300.0,994640800.0
