time,CSIRO-MK3-6-0,MPI-ESM-LR,CESM1-CAM5,NORESM1-M
2000.0,3304243600000.0,3299521600000.0,3304243600000.0,3304243600000.0
2001.0,3298406000000.0,3293698900000.0,3298406000000.0,3298406000000.0
2002.0,3286188200000.0,3281499500000.0,3286188200000.0,3286188200000.0
2003.0,3281301300000.0,3276538600000.0,3281301300000.0,3281301300000.0
2004.0,3292180300000.0,3287248500000.0,3292180300000.0,3292180300000.0
2005.0,3295315000000.0,3290330600000.0,3295315000000.0,3295315000000.0
2006.0,3288615400000.0,3283643000000.0,3288615400000.0,3288615400000.0
2007.0,3267074700000.0,3262114700000.0,3267074700000.0,3267074700000.0
2008.0,3246946500000.0,3242038400000.0,3246946500000.0,3246946500000.0
2009.0,3223646000000.0,3218880600000.0,3223646000000.0,3223646000000.0
2010.0,3209073000000.0,3204264800000.0,3209073000000.0,3209073000000.0
2011.0,3206808600000.0,3202029700000.0,3206808600000.0,3206808600000.0
2012.0,3186851600000.0,3182126400000.0,3186851600000.0,3186851600000.0
2013.0,3162704200000.0,3157999700000.0,3162704200000.0,3162704200000.0
2014.0,3150483300000.0,3145765000000.0,3150483300000.0,3150483300000.0
2015.0,3140227200000.0,3135493400000.0,3140227200000.0,3140227200000.0
2016.0,3128400500000.0,3123656800000.0,3128400500000.0,3128400500000.0
2017.0,3119231300000.0,3114504800000.0,3119231300000.0,3119231300000.0
2018.0,3112506000000.0,3107800200000.0,3112506000000.0,3112506000000.0
2019.0,3099222600000.0,3094526600000.0,3099222600000.0,3099222600000.0
2020.0,3086835000000.0,3082117200000.0,3086835000000.0,3086835000000.0
2021.0,3062095700000.0,3069101700000.0,3063464300000.0,3046527000000.0
2022.0,3024942500000.0,3052440400000.0,3051018500000.0,3025443700000.0
2023.0,2994684800000.0,3017568400000.0,3028227000000.0,2991988000000.0
2024.0,2961887500000.0,2987687100000.0,3020985700000.0,2971854400000.0
2025.0,2955928400000.0,2952815000000.0,3008997000000.0,2938525700000.0
2026.0,2918637600000.0,2927023600000.0,3003011000000.0,2910122000000.0
2027.0,2884184800000.0,2894605000000.0,2976820200000.0,2862735700000.0
2028.0,2856224300000.0,2862461500000.0,2959201500000.0,2838765000000.0
2029.0,2832177000000.0,2832972400000.0,2939251000000.0,2811490200000.0
2030.0,2803491000000.0,2815629200000.0,2919229300000.0,2780289300000.0
2031.0,2773209000000.0,2793872300000.0,2894186200000.0,2756868300000.0
2032.0,2745615500000.0,2779410300000.0,2866463000000.0,2713617400000.0
2033.0,2718116300000.0,2751670000000.0,2831787000000.0,2682324800000.0
2034.0,2675875300000.0,2740164500000.0,2812321500000.0,2646940000000.0
2035.0,2629039300000.0,2690820300000.0,2793676200000.0,2597721700000.0
2036.0,2592093800000.0,2656744200000.0,2780080000000.0,2561954000000.0
2037.0,2545532000000.0,2631915800000.0,2735706000000.0,2539170000000.0
2038.0,2525874600000.0,2631428500000.0,2722582000000.0,2506858000000.0
2039.0,2485776300000.0,2586363800000.0,2690866700000.0,2464118000000.0
2040.0,2435960500000.0,2565110800000.0,2660878500000.0,2434437700000.0
2041.0,2402322000000.0,2512777400000.0,2630598300000.0,2400916600000.0
2042.0,2351917700000.0,2470244300000.0,2587620000000.0,2352125800000.0
2043.0,2315281800000.0,2434447200000.0,2549147200000.0,2315768600000.0
2044.0,2259937400000.0,2410492200000.0,2511953500000.0,2288353800000.0
2045.0,2214247300000.0,2404482800000.0,2479642600000.0,2275527400000.0
2046.0,2166550400000.0,2357279900000.0,2431488000000.0,2243897300000.0
2047.0,2112986700000.0,2313133000000.0,2394802400000.0,2193525700000.0
2048.0,2064422100000.0,2279595800000.0,2375792200000.0,2162448000000.0
2049.0,2018825900000.0,2239549700000.0,2345993000000.0,2127237100000.0
2050.0,1983210000000.0,2212086000000.0,2308592000000.0,2083690900000.0
2051.0,1942772500000.0,2167887100000.0,2276037200000.0,2039893000000.0
2052.0,1915681400000.0,2147847600000.0,2265358800000.0,2000377200000.0
2053.0,1879428300000.0,2114812800000.0,2244189400000.0,1970573700000.0
2054.0,1851261000000.0,2070199900000.0,2211181500000.0,1946201800000.0
2055.0,1825414600000.0,2041043000000.0,2175633600000.0,1899795800000.0
