time,CSIRO-MK3-6-0,MPI-ESM-LR,CESM1-CAM5,NORESM1-M
2056.0,1778408500000.0,2007323600000.0,2146743400000.0,1864291600000.0
2057.0,1727178100000.0,1958398300000.0,2113228800000.0,1820355000000.0
2058.0,1679256800000.0,1926155700000.0,2087976000000.0,1793177700000.0
2059.0,1641224900000.0,1924468300000.0,2067520700000.0,1752395300000.0
2060.0,1615375600000.0,1868562400000.0,2024467600000.0,1724934800000.0
2061.0,1589695100000.0,1849400900000.0,2006035500000.0,1702102300000.0
2062.0,1548437600000.0,1830246800000.0,1967030500000.0,1670111700000.0
2063.0,1508358800000.0,1823102200000.0,1923124300000.0,1644179900000.0
2064.0,1476934000000.0,1801471900000.0,1883432400000.0,1614983900000.0
2065.0,1446822300000.0,1776107100000.0,1856500100000.0,1585237900000.0
2066.0,1410743900000.0,1737316600000.0,1846090700000.0,1555985100000.0
2067.0,1376004300000.0,1710249600000.0,1826941700000.0,1523195700000.0
2068.0,1342065100000.0,1682068200000.0,1799308800000.0,1503918000000.0
2069.0,1310214500000.0,1648117800000.0,1770531800000.0,1463518800000.0
2070.0,1278341400000.0,1639769400000.0,1751068400000.0,1438525600000.0
2071.0,1248086000000.0,1630894200000.0,1718177100000.0,1412050500000.0
2072.0,1210271300000.0,1588192700000.0,1689921000000.0,1391578800000.0
2073.0,1191466500000.0,1567430700000.0,1672028500000.0,1366442100000.0
2074.0,1163287200000.0,1534873300000.0,1655320300000.0,1343908500000.0
2075.0,1133134600000.0,1510293400000.0,1631545500000.0,1322234700000.0
2076.0,1113688000000.0,1474870200000.0,1602807800000.0,1299178200000.0
2077.0,1085338300000.0,1457398900000.0,1571589700000.0,1275868900000.0
2078.0,1066485000000.0,1441664200000.0,1541535600000.0,1244870100000.0
2079.0,1045761300000.0,1430504600000.0,1534433300000.0,1214298500000.0
2080.0,1025024700000.0,1409115800000.0,1501269600000.0,1194419600000.0
2081.0,996972360000.0,1394411600000.0,1480593400000.0,1172803700000.0
2082.0,986071760000.0,1394679200000.0,1453028700000.0,1148525100000.0
2083.0,975917700000.0,1378066500000.0,1431167400000.0,1121595200000.0
2084.0,953415800000.0,1342729400000.0,1411014900000.0,1097312630000.0
2085.0,933756530000.0,1332708900000.0,1386942600000.0,1086388440000.0
2086.0,921628600000.0,1317383800000.0,1362161400000.0,1064517900000.0
2087.0,904355300000.0,1303277700000.0,1339272000000.0,1038912500000.0
2088.0,887461600000.0,1283359400000.0,1308037000000.0,1020239940000.0
2089.0,878277950000.0,1272656000000.0,1283262600000.0,1000248440000.0
2090.0,861902200000.0,1251055400000.0,1256861700000.0,991531500000.0
2091.0,846410400000.0,1225612300000.0,1241178200000.0,978417160000.0
2092.0,829762960000.0,1204928400000.0,1215475500000.0,962265940000.0
2093.0,819022600000.0,1176876900000.0,1204077900000.0,947951000000.0
2094.0,807356100000.0,1162712300000.0,1191080100000.0,928362200000.0
2095.0,793050500000.0,1152810900000.0,1169224100000.0,911472850000.0
2096.0,782380960000.0,1150888200000.0,1148105400000.0,894641600000.0
2097.0,776113900000.0,1138852000000.0,1133065000000.0,890666500000.0
2098.0,765038900000.0,1125580800000.0,1123225400000.0,873012100000.0
2099.0,751079300000.0,1111383300000.0,1107107500000.0,859936650000.0
2100.0,741101860000.0,1098904040000.0,1091163800000.0,848532400000.0
2101.0,727207250000.0,1098220630000.0,1079240400000.0,838758800000.0
2102.0,712524500000.0,1089756900000.0,1073679300000.0,827206100000.0
2103.0,705320060000.0,1086104100000.0,1058346800000.0,811608400000.0
2104.0,698575900000.0,1087236000000.0,1039611800000.0,799502600000.0
2105.0,688500240000.0,1079453160000.0,1027268350000.0,788008340000.0
2106.0,681468000000.0,1076789900000.0,1011905300000.0,780023040000.0
2107.0,669617000000.0,1067911700000.0,1009197800000.0,771078160000.0
2108.0,663407950000.0,1069899400000.0,997684540000.0,754891550000.0
2109.0,651260200000.0,1058086500000.0,988114700000.0,750388100000.0
2110.0,642898200000.0,1048610730000.0,976448600000.0,747154640000.0
2111.0,633618700000.0,1031538540000.0,967210400000.0,742264600000.0
2112.0,626177500000.0,1025611000000.0,953167840000.0,735086000000.0
2113.0,621074500000.0,1013543140000.0,936993950000.0,726250100000.0
2114.0,611112200000.0,1003194500000.0,920169350000.0,718870000000.0
2115.0,602229050000.0,1004605800000.0,918064330000.0,710758960000.0
2116.0,590407100000.0,992916300000.0,905629000000.0,706466800000.0
2117.0,582378460000.0,980480160000.0,898601500000.0,695913740000.0
2118.0,573659940000.0,980925740000.0,882663700000.0,689175400000.0
2119.0,566694250000.0,978101100000.0,883741950000.0,680055340000.0
2120.0,557474840000.0,970482800000.0,866881200000.0,676343100000.0
2121.0,547623930000.0,961968900000.0,851576600000.0,662840900000.0
2122.0,542862840000.0,953400300000.0,838548000000.0,653540100000.0
2123.0,536735380000.0,941209600000.0,829842500000.0,643329300000.0
2124.0,535235820000.0,932892500000.0,814442740000.0,633698800000.0
2125.0,525758100000.0,931748900000.0,815596900000.0,629514240000.0
2126.0,518253480000.0,911463300000.0,820135300000.0,619932700000.0
2127.0,515600940000.0,901531960000.0,812213400000.0,613715740000.0
2128.0,511306800000.0,888563500000.0,801486000000.0,605493400000.0
2129.0,501520270000.0,886781050000.0,794126800000.0,599564500000.0
2130.0,490086430000.0,883668900000.0,783242600000.0,591077440000.0
2131.0,484578560000.0,875579900000.0,777517600000.0,577696300000.0
2132.0,478311350000.0,860447640000.0,773713500000.0,574408600000.0
2133.0,471632280000.0,857414040000.0,769838100000.0,564044400000.0
2134.0,467030100000.0,852321100000.0,763498900000.0,556346970000.0
2135.0,462087780000.0,859342600000.0,768813430000.0,548128200000.0
2136.0,455652800000.0,857729700000.0,764250300000.0,543970800000.0
2137.0,450842800000.0,851948100000.0,756777160000.0,541043260000.0
2138.0,441469000000.0,833132000000.0,746607940000.0,536906860000.0
2139.0,433299100000.0,822117600000.0,738507800000.0,530787570000.0
2140.0,431319580000.0,816277600000.0,730144700000.0,527300700000.0
2141.0,428133300000.0,814336600000.0,724754600000.0,524993560000.0
2142.0,425573800000.0,805132570000.0,713647500000.0,520079150000.0
2143.0,419231630000.0,801649070000.0,706141100000.0,513685600000.0
2144.0,418528950000.0,801851100000.0,701308400000.0,508308230000.0
2145.0,412991460000.0,795809100000.0,701983300000.0,501878620000.0
2146.0,407903140000.0,791858200000.0,696462600000.0,495679960000.0
2147.0,402439200000.0,790083140000.0,691359400000.0,492544800000.0
2148.0,398005960000.0,779803560000.0,684671100000.0,491817830000.0
2149.0,394081100000.0,772058000000.0,674896000000.0,487078530000.0
2150.0,387772870000.0,759254200000.0,663550200000.0,486953300000.0
2151.0,383817020000.0,749276950000.0,659801500000.0,483644300000.0
2152.0,379923070000.0,738843100000.0,653380940000.0,481816870000.0
2153.0,375994580000.0,741486800000.0,649492040000.0,479843350000.0
2154.0,377721420000.0,734879940000.0,645614000000.0,476122680000.0
2155.0,376650560000.0,727839000000.0,640053600000.0,473830030000.0
2156.0,372967870000.0,717404900000.0,626038800000.0,468917220000.0
2157.0,365998440000.0,715234930000.0,626201130000.0,464788320000.0
2158.0,362041200000.0,718746750000.0,618478900000.0,460205800000.0
2159.0,360939720000.0,704876200000.0,611031650000.0,458614240000.0
2160.0,360742980000.0,703361060000.0,608192950000.0,456991400000.0
2161.0,356097460000.0,699073200000.0,605055900000.0,453729420000.0
2162.0,355886700000.0,696706900000.0,597868300000.0,452976080000.0
2163.0,353412200000.0,688202100000.0,590094400000.0,450630680000.0
2164.0,351378740000.0,685503900000.0,581119440000.0,442861100000.0
2165.0,348691900000.0,683735100000.0,576115640000.0,438683500000.0
2166.0,347268780000.0,679323300000.0,577916630000.0,436694840000.0
2167.0,346080120000.0,670166350000.0,574359140000.0,434150200000.0
2168.0,341269900000.0,665280050000.0,572225200000.0,429872400000.0
2169.0,336467400000.0,673388560000.0,569695800000.0,426754380000.0
2170.0,331632870000.0,669597760000.0,565469640000.0,426329000000.0
2171.0,326295950000.0,667884200000.0,565782450000.0,426026960000.0
2172.0,324883640000.0,668588440000.0,561423000000.0,424576250000.0
2173.0,322662170000.0,664743400000.0,562012300000.0,418548800000.0
2174.0,320858720000.0,655168050000.0,562511100000.0,415467000000.0
2175.0,319533600000.0,652078600000.0,553857400000.0,408974000000.0
2176.0,315107480000.0,639121950000.0,551749350000.0,407189400000.0
2177.0,311719760000.0,635079800000.0,544162640000.0,406930650000.0
2178.0,308672800000.0,627297940000.0,539273850000.0,406156700000.0
2179.0,305689130000.0,618646140000.0,537042900000.0,401495800000.0
2180.0,302896700000.0,612315700000.0,535365840000.0,402730300000.0
2181.0,298753750000.0,621320200000.0,526660800000.0,401851680000.0
2182.0,298916250000.0,618727100000.0,525851620000.0,400813500000.0
2183.0,295076130000.0,615606650000.0,526939700000.0,395429640000.0
2184.0,292126520000.0,609821260000.0,520131970000.0,394232660000.0
2185.0,288592360000.0,603203760000.0,514414670000.0,389417960000.0
2186.0,288619000000.0,617485300000.0,512115300000.0,387664640000.0
2187.0,284536370000.0,607989400000.0,509832300000.0,392940260000.0
2188.0,282019500000.0,607252250000.0,509673540000.0,392489340000.0
2189.0,281405130000.0,607982700000.0,508699080000.0,391067600000.0
2190.0,279219340000.0,610772100000.0,507977100000.0,387492770000.0
2191.0,278744860000.0,604774200000.0,505407670000.0,386104520000.0
2192.0,276868920000.0,601014300000.0,500978800000.0,387126660000.0
2193.0,275882440000.0,594314000000.0,498877700000.0,387647400000.0
2194.0,271119400000.0,593893800000.0,497536240000.0,386954400000.0
2195.0,271362060000.0,598696100000.0,490787300000.0,385584140000.0
2196.0,269680350000.0,598150900000.0,487585680000.0,383314000000.0
2197.0,268335270000.0,586728700000.0,484021000000.0,386595750000.0
2198.0,266361700000.0,581478200000.0,480336350000.0,384575080000.0
2199.0,268009930000.0,571256100000.0,479454360000.0,384226900000.0
2200.0,264958500000.0,578572100000.0,471338680000.0,381901860000.0
2201.0,263263800000.0,580910600000.0,469945880000.0,383085280000.0
2202.0,262144490000.0,577486450000.0,468881340000.0,381548700000.0
2203.0,261962000000.0,581015440000.0,465189900000.0,380905030000.0
2204.0,258141750000.0,578901200000.0,462020350000.0,380794600000.0
2205.0,255611500000.0,578975400000.0,455819000000.0,383031050000.0
2206.0,254747690000.0,573985850000.0,455799000000.0,379066300000.0
2207.0,254351870000.0,572592550000.0,455794900000.0,374837250000.0
2208.0,252158020000.0,571065300000.0,453091920000.0,372609320000.0
2209.0,249473120000.0,572066700000.0,451673850000.0,371575230000.0
2210.0,243073170000.0,568268600000.0,448723680000.0,374695950000.0
2211.0,241912640000.0,567570860000.0,444621500000.0,374257420000.0
2212.0,242786500000.0,563426160000.0,439533860000.0,375056300000.0
2213.0,241992040000.0,556993500000.0,437359940000.0,374969760000.0
2214.0,243769020000.0,551573300000.0,434994940000.0,372646400000.0
2215.0,247411870000.0,555101900000.0,432772300000.0,372472100000.0
2216.0,247001350000.0,553159800000.0,427469670000.0,372868550000.0
2217.0,246045080000.0,552363750000.0,426335300000.0,372729220000.0
2218.0,243031930000.0,549956000000.0,428040200000.0,370325850000.0
2219.0,240675980000.0,552126250000.0,423948550000.0,365716080000.0
2220.0,240176040000.0,549023480000.0,419625570000.0,364323100000.0
2221.0,240331310000.0,540973660000.0,416288240000.0,366454640000.0
2222.0,240100030000.0,535920280000.0,412358770000.0,367484040000.0
2223.0,240448960000.0,528303000000.0,408561160000.0,367258270000.0
2224.0,240292870000.0,524749800000.0,405298200000.0,365162300000.0
2225.0,240056760000.0,531438300000.0,402004080000.0,362437200000.0
2226.0,240365580000.0,532961820000.0,392844600000.0,362020670000.0
2227.0,236160650000.0,528080040000.0,391492960000.0,361885760000.0
2228.0,234648730000.0,522713530000.0,392836740000.0,364686200000.0
2229.0,230280310000.0,520330150000.0,389910130000.0,363018650000.0
2230.0,229746160000.0,515294230000.0,389892000000.0,365231770000.0
2231.0,229292410000.0,514074150000.0,385010570000.0,367061270000.0
2232.0,226114400000.0,524107970000.0,390287330000.0,365267500000.0
2233.0,226430860000.0,523907100000.0,391076000000.0,365935800000.0
2234.0,227555440000.0,515811800000.0,387176270000.0,364853460000.0
2235.0,225705850000.0,514645750000.0,388021420000.0,365798260000.0
2236.0,224731960000.0,526160700000.0,389250600000.0,366339520000.0
2237.0,223127620000.0,517867800000.0,385888420000.0,363338530000.0
2238.0,218986770000.0,516846030000.0,385568930000.0,361332900000.0
2239.0,215818600000.0,522570370000.0,386529700000.0,365566620000.0
2240.0,214646200000.0,525551470000.0,386393900000.0,366326020000.0
2241.0,212168930000.0,536025040000.0,384162370000.0,364866500000.0
2242.0,212522800000.0,530406380000.0,382726050000.0,362054880000.0
2243.0,211138690000.0,522917180000.0,380715170000.0,362566420000.0
2244.0,210064160000.0,520388640000.0,380644750000.0,363185300000.0
2245.0,208711810000.0,522262540000.0,379646540000.0,366914760000.0
2246.0,207437230000.0,527550940000.0,377955940000.0,369690400000.0
2247.0,207451260000.0,525211960000.0,379415170000.0,369751130000.0
2248.0,206430650000.0,523773000000.0,381698500000.0,368944970000.0
2249.0,206133540000.0,521160000000.0,379944830000.0,368310260000.0
2250.0,204318150000.0,518297200000.0,378833080000.0,368769560000.0
2251.0,203851680000.0,523981780000.0,377480500000.0,368557100000.0
2252.0,205160000000.0,517279450000.0,380452700000.0,372409270000.0
2253.0,205553900000.0,515229940000.0,380210700000.0,371134800000.0
2254.0,206027460000.0,511222020000.0,379944800000.0,374722460000.0
2255.0,204893720000.0,514241200000.0,377809860000.0,375273260000.0
2256.0,205622310000.0,518667700000.0,378223760000.0,372225500000.0
2257.0,202825200000.0,505752680000.0,375778180000.0,373534650000.0
2258.0,203256430000.0,493157000000.0,376045340000.0,373873440000.0
2259.0,202216540000.0,487409100000.0,376747980000.0,372381840000.0
2260.0,199970870000.0,487612740000.0,375984750000.0,372502300000.0
2261.0,197099100000.0,481042530000.0,377263720000.0,372521140000.0
2262.0,198844860000.0,481722760000.0,374243160000.0,375093920000.0
2263.0,201291630000.0,482460340000.0,368998450000.0,376868500000.0
2264.0,198298100000.0,477367900000.0,369059760000.0,375246500000.0
2265.0,195626290000.0,479887130000.0,369323640000.0,371619430000.0
2266.0,194933980000.0,477974360000.0,364600330000.0,369159860000.0
2267.0,192078330000.0,481534400000.0,362548820000.0,369366470000.0
2268.0,185673810000.0,475661400000.0,364301220000.0,367605100000.0
2269.0,182853190000.0,470950800000.0,367102460000.0,367888470000.0
2270.0,180443990000.0,469387670000.0,370675970000.0,369812470000.0
2271.0,178852090000.0,469205450000.0,369234020000.0,367770200000.0
2272.0,179222090000.0,459368200000.0,370093460000.0,366221900000.0
2273.0,180582580000.0,460864000000.0,371325860000.0,364881020000.0
2274.0,179574640000.0,457336200000.0,371641450000.0,361077600000.0
2275.0,180008530000.0,469627240000.0,377202050000.0,358974780000.0
2276.0,180830180000.0,475441000000.0,376492850000.0,358361200000.0
2277.0,180317080000.0,471543800000.0,377427360000.0,359260300000.0
2278.0,180223070000.0,473669170000.0,377711700000.0,357973750000.0
2279.0,182775500000.0,471336500000.0,379371030000.0,354719560000.0
2280.0,183875190000.0,476287930000.0,381126840000.0,350853460000.0
2281.0,186409910000.0,477777330000.0,383496130000.0,349951980000.0
2282.0,184945870000.0,471307980000.0,388063800000.0,349091270000.0
2283.0,183594120000.0,475637320000.0,387709600000.0,348060840000.0
2284.0,182585870000.0,475634270000.0,387730080000.0,349242720000.0
2285.0,188353220000.0,468694760000.0,386056400000.0,347240400000.0
2286.0,188097040000.0,464581660000.0,387939530000.0,347078400000.0
2287.0,190147260000.0,465956140000.0,385764620000.0,347838900000.0
2288.0,191123700000.0,461086460000.0,386910650000.0,347941300000.0
2289.0,191636680000.0,455576750000.0,383014170000.0,347163360000.0
2290.0,192776180000.0,453215600000.0,384524850000.0,346990120000.0
2291.0,193887130000.0,455783500000.0,385938330000.0,343693620000.0
2292.0,193120760000.0,454855160000.0,390065620000.0,343867060000.0
2293.0,192524910000.0,453137070000.0,387759730000.0,340587700000.0
2294.0,194477160000.0,454730940000.0,391737400000.0,338387400000.0
2295.0,196653900000.0,457433400000.0,392062630000.0,338710360000.0
2296.0,194124800000.0,448346300000.0,392816100000.0,338194000000.0
2297.0,193509800000.0,446418100000.0,391814350000.0,340052700000.0
2298.0,193630010000.0,444554770000.0,392096650000.0,339435400000.0
2299.0,198556170000.0,450483650000.0,392645480000.0,337677680000.0
2300.0,198823600000.0,454333270000.0,389513350000.0,335709540000.0
