time,CANESM2,MPI-ESM-LR,CESM1-CAM5
2109.0,1602099300000.0,2288598600000.0,1379082300000.0
2110.0,1602257400000.0,2287403000000.0,1376624600000.0
2111.0,1600881300000.0,2286844600000.0,1365913600000.0
2112.0,1593975600000.0,2297181200000.0,1352284600000.0
2113.0,1584537300000.0,2303891600000.0,1338434000000.0
2114.0,1573532300000.0,2305249200000.0,1331502400000.0
2115.0,1568997000000.0,2324042000000.0,1328062400000.0
2116.0,1563959600000.0,2328005000000.0,1324228000000.0
2117.0,1555516800000.0,2319956300000.0,1325827500000.0
2118.0,1551732400000.0,2323041200000.0,1321127600000.0
2119.0,1551152300000.0,2314264600000.0,1323523900000.0
2120.0,1545024200000.0,2321592000000.0,1325813500000.0
2121.0,1544583600000.0,2338485200000.0,1322829000000.0
2122.0,1531014000000.0,2349625000000.0,1304386700000.0
2123.0,1533387500000.0,2345637000000.0,1296356900000.0
2124.0,1531716600000.0,2342485500000.0,1292233900000.0
2125.0,1522654900000.0,2340818300000.0,1283726900000.0
2126.0,1521191000000.0,2350137000000.0,1274970600000.0
2127.0,1526496500000.0,2358827500000.0,1266380700000.0
2128.0,1523100700000.0,2345217600000.0,1262136000000.0
2129.0,1523163200000.0,2338470500000.0,1263290200000.0
2130.0,1521876000000.0,2393966600000.0,1258679600000.0
2131.0,1513357600000.0,2374898500000.0,1261315600000.0
2132.0,1498323700000.0,2362312200000.0,1258471300000.0
2133.0,1500054200000.0,2360134600000.0,1256847200000.0
2134.0,1508965600000.0,2378078600000.0,1259684900000.0
2135.0,1514786300000.0,2393840000000.0,1254262700000.0
2136.0,1521291200000.0,2390694600000.0,1235101800000.0
2137.0,1519989300000.0,2409271400000.0,1226473200000.0
2138.0,1512798200000.0,2419423700000.0,1230858700000.0
2139.0,1510274200000.0,2418704000000.0,1225354600000.0
2140.0,1514112000000.0,2394446000000.0,1221363500000.0
2141.0,1508920700000.0,2378120300000.0,1220222800000.0
2142.0,1502572300000.0,2364120200000.0,1224199400000.0
2143.0,1491536400000.0,2380794000000.0,1223469300000.0
2144.0,1483153900000.0,2374774000000.0,1210254600000.0
2145.0,1484992800000.0,2367535200000.0,1211628900000.0
2146.0,1479575600000.0,2368071800000.0,1207676400000.0
2147.0,1459557800000.0,2369947700000.0,1200843900000.0
2148.0,1449625300000.0,2376447600000.0,1197505100000.0
2149.0,1459356700000.0,2367485000000.0,1189008000000.0
2150.0,1458667900000.0,2374457400000.0,1186267900000.0
2151.0,1456250700000.0,2383064000000.0,1190042700000.0
2152.0,1452881000000.0,2377864000000.0,1189803000000.0
2153.0,1450034700000.0,2381644600000.0,1185940500000.0
2154.0,1446291700000.0,2371506100000.0,1184983200000.0
2155.0,1459661400000.0,2386041200000.0,1186719000000.0
2156.0,1453776400000.0,2413401000000.0,1186731400000.0
2157.0,1445662400000.0,2426698700000.0,1188373900000.0
2158.0,1451939900000.0,2416649200000.0,1187235400000.0
2159.0,1445273500000.0,2428780700000.0,1180761800000.0
2160.0,1445485200000.0,2425874800000.0,1170926000000.0
2161.0,1439637400000.0,2423236000000.0,1168560200000.0
2162.0,1433309200000.0,2441901000000.0,1186790200000.0
2163.0,1425212000000.0,2455827400000.0,1182807000000.0
2164.0,1422191000000.0,2452610000000.0,1180086600000.0
2165.0,1421877700000.0,2449243000000.0,1182479500000.0
2166.0,1434331100000.0,2445609000000.0,1182755200000.0
2167.0,1424558700000.0,2493605200000.0,1180320900000.0
2168.0,1420754600000.0,2487538000000.0,1170400600000.0
2169.0,1422286400000.0,2502027600000.0,1171195600000.0
2170.0,1422565200000.0,2502888500000.0,1164565400000.0
2171.0,1424093000000.0,2495083400000.0,1171386000000.0
2172.0,1423111700000.0,2493640000000.0,1166071200000.0
2173.0,1420843700000.0,2501214500000.0,1170227100000.0
2174.0,1421741800000.0,2493192900000.0,1169380500000.0
2175.0,1415600400000.0,2497826300000.0,1167956600000.0
2176.0,1432164600000.0,2499867600000.0,1157561700000.0
