time,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4,BCC-CSM2-MR,FGOALS-F3-L,INM-CM4-8,INM-CM5-0,EC-EARTH3-VEG,MRI-ESM2-0,EC-EARTH3,CESM2,CESM2-WACCM,CAMS-CSM1-0
2000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0
2001.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0
2002.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0
2003.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0
2004.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0
2005.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0
2006.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0
2007.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0
2008.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0
2009.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0
2010.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0
2011.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0
2012.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0
2013.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0
2014.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0
2015.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0
2016.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0
2017.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0
2018.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0
2019.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0
2020.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0
2021.0,18076733000000.0,18197927000000.0,18041460000000.0,18080556000000.0,18095836000000.0,18167238000000.0,18129093000000.0,18010025000000.0,18183637000000.0,18108943000000.0,18121200000000.0,18149135000000.0,17926933000000.0
2022.0,17974325000000.0,18240097000000.0,17906784000000.0,17976844000000.0,17975078000000.0,18090968000000.0,18057244000000.0,17904253000000.0,18115562000000.0,18032850000000.0,18130160000000.0,18099389000000.0,17766384000000.0
2023.0,17876891000000.0,18218297000000.0,17769458000000.0,17940714000000.0,17892186000000.0,18027090000000.0,17964950000000.0,17767202000000.0,18030696000000.0,17796440000000.0,18062275000000.0,17967081000000.0,17580148000000.0
2024.0,17693140000000.0,18195822000000.0,17694512000000.0,17760097000000.0,17646232000000.0,17919461000000.0,17862448000000.0,17692208000000.0,17925870000000.0,17632225000000.0,17986654000000.0,17772019000000.0,17464559000000.0
2025.0,17621888000000.0,18089530000000.0,17599990000000.0,17634916000000.0,17503697000000.0,17761540000000.0,17772633000000.0,17549004000000.0,17798875000000.0,17564381000000.0,17874136000000.0,17628106000000.0,17381290000000.0
2026.0,17499773000000.0,17997250000000.0,17433003000000.0,17535094000000.0,17462076000000.0,17666054000000.0,17660853000000.0,17408735000000.0,17638917000000.0,17547686000000.0,17769300000000.0,17427158000000.0,17262289000000.0
2027.0,17406785000000.0,17880593000000.0,17319618000000.0,17400932000000.0,17336140000000.0,17606422000000.0,17559361000000.0,17290724000000.0,17489017000000.0,17365483000000.0,17664690000000.0,17284347000000.0,17140147000000.0
2028.0,17246283000000.0,17789373000000.0,17205523000000.0,17128754000000.0,17210571000000.0,17459589000000.0,17457136000000.0,17163231000000.0,17322483000000.0,17169905000000.0,17513508000000.0,17135231000000.0,17045537000000.0
2029.0,17087107000000.0,17745496000000.0,17109611000000.0,17052934000000.0,17172931000000.0,17358022000000.0,17413201000000.0,16989255000000.0,17201610000000.0,17053180000000.0,17314401000000.0,16899181000000.0,16999510000000.0
2030.0,16958617000000.0,17694137000000.0,16933941000000.0,16895240000000.0,17068509000000.0,17261671000000.0,17297381000000.0,16854552000000.0,17105583000000.0,16947280000000.0,17177568000000.0,16755239000000.0,16907213000000.0
2031.0,16850882000000.0,17589140000000.0,16858414000000.0,16739979000000.0,16893089000000.0,17122548000000.0,17241694000000.0,16749149000000.0,16983818000000.0,16831975000000.0,16988275000000.0,16710210000000.0,16804933000000.0
2032.0,16756665000000.0,17461198000000.0,16735188000000.0,16438024000000.0,16769648000000.0,17019458000000.0,17122151000000.0,16674360000000.0,16833284000000.0,16799804000000.0,16863946000000.0,16450126000000.0,16738406000000.0
2033.0,16716109000000.0,17365206000000.0,16609572000000.0,16206241000000.0,16642157000000.0,16938986000000.0,17038998000000.0,16471001000000.0,16793191000000.0,16699940000000.0,16727481000000.0,16269981000000.0,16592932000000.0
2034.0,16722425000000.0,17238523000000.0,16549093000000.0,16040120000000.0,16542273000000.0,16819698000000.0,16914498000000.0,16360441000000.0,16658986000000.0,16454745000000.0,16511735000000.0,16196472000000.0,16447746000000.0
2035.0,16691200000000.0,17230451000000.0,16505348000000.0,15788061000000.0,16469236000000.0,16726594000000.0,16855836000000.0,16146506000000.0,16560245000000.0,16278995000000.0,16366841000000.0,16097328000000.0,16426223000000.0
2036.0,16640970000000.0,17162073000000.0,16353887000000.0,15596232000000.0,16214953000000.0,16677329000000.0,16758156000000.0,16062242000000.0,16485798000000.0,16105727000000.0,16245743000000.0,15972369000000.0,16401084000000.0
2037.0,16534019000000.0,17084106000000.0,16239690000000.0,15404823000000.0,15982250000000.0,16638393000000.0,16627266000000.0,15844465000000.0,16326642000000.0,15950032000000.0,16125895000000.0,15821454000000.0,16347510000000.0
2038.0,16408833000000.0,17004656000000.0,16084429000000.0,15081326000000.0,15874226000000.0,16570337000000.0,16506960000000.0,15731885000000.0,16206578000000.0,15793954000000.0,15848307000000.0,15689267000000.0,16276944000000.0
2039.0,16349355000000.0,16953296000000.0,15977714000000.0,14890612000000.0,15765715000000.0,16473268000000.0,16369907000000.0,15522802000000.0,16149664000000.0,15713670000000.0,15787054000000.0,15437901000000.0,16152959000000.0
2040.0,16264273000000.0,16871198000000.0,15804514000000.0,14777125000000.0,15605121000000.0,16313577000000.0,16236621000000.0,15313699000000.0,16013768000000.0,15612117000000.0,15717977000000.0,15270474000000.0,16070785000000.0
