time,MPI-ESM1-2-HR,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4
2047.0,27610458000.0,20896408000.0,22960124000.0,24326370000.0,25713486000.0
2048.0,26887987000.0,21101961000.0,22522548000.0,23163865000.0,25821995000.0
2049.0,25975239000.0,20071975000.0,22098450000.0,23305245000.0,25847860000.0
2050.0,24915184000.0,18946763000.0,21253028000.0,23560899000.0,25303286000.0
2051.0,23961338000.0,18375297000.0,20805951000.0,23568521000.0,24998609000.0
2052.0,23814046000.0,17438261000.0,20257350000.0,23768040000.0,24924631000.0
2053.0,23627033000.0,16534819000.0,19688258000.0,24235450000.0,24136219000.0
2054.0,23158516000.0,15768852000.0,20030802000.0,23539198000.0,23722031000.0
2055.0,23677575000.0,14871789000.0,19583846000.0,23201792000.0,23385887000.0
2056.0,23902456000.0,14283382000.0,20076655000.0,23272036000.0,22975250000.0
2057.0,23136657000.0,13978146000.0,19685356000.0,23038149000.0,21959720000.0
2058.0,22455710000.0,13079234000.0,19702323000.0,22527324000.0,21256237000.0
2059.0,22411805000.0,11987935000.0,18999840000.0,21620130000.0,20833755000.0
2060.0,22855260000.0,11362211000.0,18747933000.0,20804848000.0,20696076000.0
2061.0,23059847000.0,11295256000.0,17832010000.0,20875178000.0,20586635000.0
2062.0,23246119000.0,10621920000.0,17601730000.0,20837005000.0,20296102000.0
2063.0,23143557000.0,10277377000.0,17162968000.0,20338385000.0,20692750000.0
2064.0,23865344000.0,9729009000.0,16671295000.0,19514446000.0,20022227000.0
2065.0,23398455000.0,9345870000.0,15976144000.0,19824163000.0,19436012000.0
2066.0,23123968000.0,8729725000.0,15757749000.0,19684028000.0,19394853000.0
2067.0,23595143000.0,8481555000.0,15298100000.0,19586847000.0,19831190000.0
2068.0,25034177000.0,8343874000.0,14857133000.0,19510465000.0,20000672000.0
2069.0,24830505000.0,8017145000.0,14643177000.0,19194345000.0,20195383000.0
2070.0,24515674000.0,7818793500.0,14470138000.0,19265294000.0,20300782000.0
2071.0,24368810000.0,8026635000.0,14641586000.0,18697978000.0,20354925000.0
2072.0,24020556000.0,7889967000.0,14297294000.0,18555953000.0,20607582000.0
2073.0,23185934000.0,7558672400.0,14129477000.0,18026609000.0,20664211000.0
2074.0,23041042000.0,7477507600.0,13720320000.0,18226326000.0,20977056000.0
2075.0,22584015000.0,7334427600.0,13249177000.0,18512970000.0,21272793000.0
2076.0,22412511000.0,7371675600.0,13221135000.0,19306844000.0,20803998000.0
2077.0,22433186000.0,7205498400.0,13296439000.0,18852903000.0,20478228000.0
2078.0,22585338000.0,7108644400.0,13634611000.0,18665769000.0,19905730000.0
2079.0,22376927000.0,7131989500.0,13279918000.0,18994200000.0,20288190000.0
2080.0,22068204000.0,7304092000.0,12498961000.0,19229958000.0,20424151000.0
2081.0,21949518000.0,7345221600.0,12379977000.0,18828227000.0,20363946000.0
2082.0,21813916000.0,7445994000.0,12065894000.0,18779148000.0,20511631000.0
2083.0,21446392000.0,7288931000.0,11921678000.0,18992878000.0,20325120000.0
2084.0,21293560000.0,7350631000.0,11769557000.0,18704822000.0,20247849000.0
2085.0,21206106000.0,7127355000.0,11546228000.0,18963360000.0,20143050000.0
2086.0,21060170000.0,7069680000.0,11741965000.0,19161151000.0,19629965000.0
2087.0,20393286000.0,7046385000.0,11956210000.0,19167519000.0,19563813000.0
2088.0,20076177000.0,6664428000.0,12132817000.0,19377385000.0,19595342000.0
2089.0,19810570000.0,6421787000.0,12527020000.0,19513584000.0,19429898000.0
2090.0,19944937000.0,6916695000.0,12412783000.0,20126405000.0,19257764000.0
2091.0,20061061000.0,7026564600.0,12441136000.0,20645585000.0,19058221000.0
2092.0,19730956000.0,6971967500.0,12417381000.0,21105994000.0,18821743000.0
2093.0,19558324000.0,7082441000.0,12303980000.0,21140540000.0,18468220000.0
2094.0,19234361000.0,7203674000.0,12065593000.0,21033677000.0,18604930000.0
2095.0,19352857000.0,7367980000.0,12103635000.0,21113092000.0,19087997000.0
2096.0,19447745000.0,7417936400.0,12116470000.0,20998517000.0,20043332000.0
2097.0,18974610000.0,7507942000.0,11968600000.0,21078300000.0,20340810000.0
2098.0,18855520000.0,7421183000.0,11741225000.0,21570202000.0,20649765000.0
2099.0,19674913000.0,7506193400.0,12228622000.0,21844177000.0,19987114000.0
2100.0,19615435000.0,7452590000.0,12150739000.0,21600516000.0,19354573000.0
