time,IPSL-CM6A-LR,UKESM1-0-LL,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0
2047.0,21595950000.0,10473884000.0,33936632000.0,25312401000.0,24038797000.0
2048.0,20583221000.0,10156652000.0,33811081000.0,23928810000.0,23313463000.0
2049.0,20135786000.0,9702537000.0,32513288000.0,23357166000.0,22703616000.0
2050.0,18865224000.0,9615341000.0,31630606000.0,22530589000.0,22402520000.0
2051.0,18178974000.0,9256400000.0,30867438000.0,21594552000.0,21759971000.0
2052.0,17043634000.0,8621039000.0,30650606000.0,20530473000.0,20626573000.0
2053.0,16652492000.0,8147057700.0,29628772000.0,20330455000.0,20236956000.0
2054.0,16218712000.0,7728125400.0,28799863000.0,20454726000.0,19275866000.0
2055.0,15900666000.0,7020537000.0,27037559000.0,19850519000.0,18789673000.0
2056.0,15794892000.0,6681436700.0,25566810000.0,18537425000.0,17849480000.0
2057.0,15183691000.0,6458755000.0,25269105000.0,17257777000.0,17157261000.0
2058.0,14521404000.0,5930929700.0,24864532000.0,16355848000.0,16809444000.0
2059.0,14024869000.0,5655806500.0,23861807000.0,15447716000.0,15549724000.0
2060.0,13621743000.0,5063211000.0,23113077000.0,14218455000.0,14840712000.0
2061.0,13146436000.0,4837207600.0,22376495000.0,13835315000.0,14116743000.0
2062.0,12278430000.0,4350387700.0,22650018000.0,13502029000.0,13763895000.0
2063.0,11775197000.0,4079966000.0,22057280000.0,12816219000.0,13491717000.0
2064.0,11027837000.0,3895866600.0,21829220000.0,12436793000.0,12919930000.0
2065.0,10416794000.0,3650353400.0,21380694000.0,11835752000.0,12209271000.0
2066.0,9936669000.0,3596169200.0,19959175000.0,11230017000.0,11933058000.0
2067.0,9681336000.0,3448357000.0,19598447000.0,10710273000.0,11228719000.0
2068.0,9161706000.0,3155464400.0,18393205000.0,10170623000.0,11264385000.0
2069.0,8520573400.0,3008751400.0,17903854000.0,9675995000.0,11074693000.0
2070.0,8164203500.0,2945108700.0,16931464000.0,9559332000.0,10861887000.0
2071.0,7810105300.0,2683350000.0,15564688000.0,9189857000.0,10681808000.0
2072.0,7410836000.0,2475125500.0,15257118000.0,9067506000.0,10218588000.0
2073.0,7044973600.0,2395918300.0,14762094000.0,8648556000.0,9709443000.0
2074.0,6726241000.0,2288121000.0,14017535000.0,8472231400.0,9302786000.0
2075.0,6363889000.0,2170979600.0,14032776000.0,7907360000.0,8999271000.0
2076.0,6040097000.0,2037306000.0,13362146000.0,7712455700.0,8924292000.0
2077.0,5710253600.0,1987205600.0,13169684000.0,7546269000.0,8607549000.0
2078.0,5357579000.0,1874535400.0,12301881000.0,7469131300.0,8317382000.0
2079.0,5058682000.0,1683563600.0,11681011000.0,7149180400.0,7938240000.0
2080.0,4890618400.0,1539135000.0,11539525000.0,6850341400.0,7768548400.0
2081.0,4370815500.0,1372233100.0,11003715000.0,6810899000.0,7480816600.0
2082.0,3982434300.0,1314830700.0,10245782000.0,6405207000.0,7391910400.0
2083.0,3816296700.0,1245951000.0,9672210000.0,6408374000.0,7293647000.0
2084.0,3612942000.0,1209045400.0,8990553000.0,6133598700.0,7070606000.0
2085.0,3601720600.0,1085522400.0,8415430000.0,5771060700.0,7047442400.0
2086.0,3472219100.0,1055130300.0,7992646000.0,5700991500.0,6845204500.0
2087.0,3371409700.0,947099400.0,7418929000.0,5238615600.0,6689320400.0
2088.0,3340412700.0,862967200.0,7075011000.0,5161208000.0,6459642000.0
2089.0,3218536400.0,829633660.0,6571229700.0,4993099300.0,6435965000.0
2090.0,3088491500.0,740134200.0,6399068700.0,4999124000.0,6317487600.0
2091.0,2867271000.0,695814140.0,5877252600.0,4904247000.0,6158323000.0
2092.0,2542364000.0,662350600.0,5423366700.0,4862444000.0,5821626400.0
2093.0,2382225400.0,594893630.0,5080439300.0,4533943000.0,5678237700.0
2094.0,2198232600.0,563740160.0,4455157000.0,4426209000.0,5383131000.0
2095.0,1999062500.0,486730080.0,4045721000.0,4231565600.0,5137930000.0
2096.0,1897588900.0,496761020.0,3913105400.0,4079838200.0,4892685300.0
2097.0,1697277600.0,471990940.0,3805370400.0,3604423400.0,4737230300.0
2098.0,1589045600.0,445687870.0,3491511800.0,3654305000.0,4790458000.0
2099.0,1480349000.0,432456700.0,3413910300.0,3603566600.0,4621698000.0
2100.0,1343174900.0,415973120.0,3304435000.0,3532350200.0,4563975700.0
