time,CESM2-WACCM,CanESM5,IPSL-CM6A-LR,MRI-ESM2-0
2000,14984273483657.324,14985076761586.584,14985076761586.584,14985109521887.719
2001,14946881272182.729,14957453942096.219,14938972540255.797,14951721659980.3
2002,14910781103897.967,14925951077445.781,14870591282786.773,14928768916066.312
2003,14868071144363.816,14901716070450.562,14834883116677.006,14880003036171.803
2004,14818706046855.086,14871835009199.885,14804452980767.762,14862801311019.725
2005,14778628154915.295,14836427914963.004,14760587930663.533,14834214681166.865
2006,14736036379092.24,14784618211825.63,14702984328692.855,14814959773143.133
2007,14701937749233.484,14745515633581.514,14681530170968.414,14780907775596.188
2008,14645407491337.172,14723999587069.914,14642707098927.04,14730954298212.498
2009,14582991328351.975,14679261741527.025,14587358632149.875,14672382008634.21
2010,14526221500212.826,14627481292269.318,14537419829966.328,14627095446530.215
2011,14485341771801.336,14612645557357.99,14476870332686.639,14587115574725.877
2012,14458856973717.377,14553382456020.682,14430497024878.975,14515140704167.896
2013,14410074604778.059,14512267037498.227,14389031689810.816,14478036536375.809
2014,14361038565843.7,14473716040453.562,14337170068717.904,14428411729363.373
2015,14293658693669.594,14420355555846.824,14283957341725.268,14375678954783.617
2016,14275208693573.154,14376267122677.902,14223004398700.076,14322723397077.945
2017,14249047283140.506,14321639328940.3,14183595119258.932,14274624276620.512
2018,14226582590927.367,14254960460911.049,14155993551298.463,14210431740707.71
2019,14173693271786.887,14168324537866.117,14119558025479.254,14133262044064.69
2020,14108800109536.277,14078517536376.773,14098865904421.553,14103986832884.11
2021,14065465885530.617,14031209658703.902,14042149171009.027,14066589983691.094
2022,14014656568822.531,13967024295429.578,13989032229982.768,14018145920537.205
2023,13960421327893.885,13901387612599.021,13918355374249.123,13928561763388.305
2024,13908074634488.85,13799491570424.209,13882588095844.318,13857504812564.7
2025,13834065501159.824,13694489257441.656,13835020103067.12,13796618025315.41
2026,13756218758797.861,13638908266375.889,13750778523845.953,13743601291649.096
2027,13716863396410.791,13572366711451.334,13699670646517.584,13678019108021.564
2028,13663180078138.918,13479945091839.098,13638050396597.885,13616812613685.625
2029,13592157892548.549,13392134339787.16,13551637542466.203,13572110466624.795
2030,13543958232028.059,13333763070227.934,13487106267502.84,13495088992028.42
2031,13478662693892.906,13243808558946.889,13418330551372.025,13429076343261.37
2032,13432244650453.13,13139235647313.389,13316134594104.855,13353527033748.562
2033,13366119710272.287,13031978957456.697,13238180941909.957,13308250436845.174
2034,13301703805283.805,12930557527884.002,13168447786822.807,13190462678437.076
2035,13235343430279.516,12840185848929.795,13124417404909.38,13117877589328.834
2036,13191834071931.303,12743748836081.984,13086632651599.084,13074739080543.053
2037,13136328520176.32,12661222684517.996,13027012530864.883,13015415682103.133
2038,13057293100886.45,12571626704594.777,12961532611644.482,12941699084900.281
2039,12943665550530.73,12488439862354.727,12865130295798.004,12871459872361.85
2040,12828233467722.2,12415738129053.297,12769812549262.574,12810879064638.764
2041,12731536495373.389,12300859594408.89,12688797457236.645,12766203368152.998
2042,12672788187138.639,12183276554075.352,12608010886826.494,12693510997779.936
2043,12603597022370.309,12052750147088.691,12495082255887.744,12575130798994.268
2044,12527243960725.143,11929023030793.764,12426226941182.938,12489946314534.4
2045,12436118041496.271,11826877533753.516,12342478141784.91,12375429645632.34
2046,12344851303944.764,11719377398517.143,12258983418140.332,12293383297649.494
2047,12286421512848.615,11602859960089.07,12194165069765.574,12168903997584.723
2048,12225242016786.398,11486714403244.615,12073610215998.354,12016336951576.633
2049,12174755111666.965,11367724603016.344,11962436243211.78,11954077746253.227
2050,12078358998640.963,11241697919310.947,11885336576165.666,11882472790120.566
2051,12003344431062.963,11120823005655.309,11803026305857.773,11734600124698.865
2052,11909619515664.963,10991059854799.818,11707828454564.633,11610648487377.87
2053,11820507052426.098,10866533635100.482,11617810628712.559,11459745743538.182
