time,CCSM4,MPI-ESM-LR,CSIRO-MK3-6-0
2000.0,296325480000.0,296325480000.0,296325480000.0
2001.0,297334670000.0,297334670000.0,297334670000.0
2002.0,295847700000.0,295847700000.0,295847700000.0
2003.0,290780480000.0,290780480000.0,290780480000.0
2004.0,288279040000.0,288279040000.0,288279040000.0
2005.0,286634870000.0,286634870000.0,286634870000.0
2006.0,286520500000.0,286520500000.0,286520500000.0
2007.0,282644020000.0,282644020000.0,282644020000.0
2008.0,283340000000.0,283340000000.0,283340000000.0
2009.0,282399440000.0,282399440000.0,282399440000.0
2010.0,278436120000.0,278436120000.0,278436120000.0
2011.0,276206520000.0,276206520000.0,276206520000.0
2012.0,275524400000.0,275524400000.0,275524400000.0
2013.0,275985630000.0,275985630000.0,275985630000.0
2014.0,273251070000.0,273251070000.0,273251070000.0
2015.0,269490860000.0,269490860000.0,269490860000.0
2016.0,271076160000.0,271076160000.0,271076160000.0
2017.0,267859100000.0,267859100000.0,267859100000.0
2018.0,267521130000.0,267521130000.0,267521130000.0
2019.0,262657200000.0,262657200000.0,262657200000.0
2020.0,260582060000.0,260582060000.0,260582060000.0
2021.0,258291920000.0,258534420000.0,257205530000.0
2022.0,258343810000.0,256560820000.0,257076720000.0
2023.0,255081900000.0,254751870000.0,255621730000.0
2024.0,249227580000.0,249765050000.0,253281710000.0
2025.0,247651730000.0,248421760000.0,252414380000.0
2026.0,245531560000.0,242535860000.0,251306670000.0
2027.0,241147200000.0,237686460000.0,250179030000.0
2028.0,241008900000.0,231673890000.0,249714210000.0
2029.0,238260420000.0,231585970000.0,250932400000.0
2030.0,238118800000.0,228197740000.0,251066710000.0
2031.0,237025020000.0,228022480000.0,247857940000.0
2032.0,235411260000.0,225098510000.0,246365650000.0
2033.0,233500430000.0,221313120000.0,245195200000.0
2034.0,229565960000.0,215500780000.0,243887030000.0
2035.0,224861080000.0,211035880000.0,242543410000.0
2036.0,220197630000.0,207801550000.0,237683310000.0
2037.0,216125870000.0,211900660000.0,236770410000.0
2038.0,214165860000.0,208369030000.0,234896460000.0
2039.0,211611930000.0,207852910000.0,233722500000.0
2040.0,209478830000.0,202221080000.0,227991220000.0
2041.0,206403720000.0,201001860000.0,224935380000.0
2042.0,203187670000.0,195267020000.0,224304660000.0
2043.0,201852570000.0,189976870000.0,224018610000.0
2044.0,200465240000.0,185190510000.0,219647820000.0
2045.0,200052690000.0,184944690000.0,214019200000.0
2046.0,195968090000.0,180430750000.0,208686400000.0
2047.0,191451580000.0,177516870000.0,205853720000.0
2048.0,187966830000.0,172155110000.0,204936900000.0
2049.0,183824300000.0,169298460000.0,203933660000.0
2050.0,179486440000.0,166673660000.0,203299050000.0
2051.0,175320900000.0,161668270000.0,202649110000.0
2052.0,170622620000.0,157382840000.0,198155570000.0
2053.0,168348990000.0,153805390000.0,194250390000.0
2054.0,161656000000.0,153388250000.0,192443900000.0
2055.0,159356500000.0,150979050000.0,190506570000.0
2056.0,156020400000.0,147943720000.0,186449950000.0
2057.0,153274730000.0,144471720000.0,184409060000.0
2058.0,149526870000.0,141975010000.0,182366800000.0
2059.0,146846060000.0,138965810000.0,182455370000.0
2060.0,142589940000.0,136174830000.0,183873320000.0
2061.0,140286620000.0,132701200000.0,182423450000.0
2062.0,137127120000.0,128357600000.0,180356300000.0
2063.0,133833290000.0,123881250000.0,178761810000.0
2064.0,128984440000.0,120774040000.0,175360590000.0
2065.0,125832356000.0,116264790000.0,171789450000.0
2066.0,123460035000.0,115205540000.0,167615250000.0
2067.0,120923170000.0,113519500000.0,165016540000.0
2068.0,116302530000.0,110847220000.0,163453680000.0
2069.0,111618260000.0,106424090000.0,159102370000.0
2070.0,108713050000.0,103002950000.0,156811640000.0
2071.0,104528550000.0,100414640000.0,153131970000.0
2072.0,101471920000.0,97032660000.0,147993510000.0
2073.0,99566120000.0,94069790000.0,143933690000.0
2074.0,97329800000.0,90803960000.0,140670630000.0
2075.0,95230180000.0,87592180000.0,138015490000.0
2076.0,92174836000.0,84374725000.0,135627480000.0
2077.0,89693250000.0,81696040000.0,132664670000.0
2078.0,87003430000.0,78044380000.0,130833710000.0
2079.0,84326610000.0,76175160000.0,126313366000.0
2080.0,80906160000.0,74786910000.0,123837325000.0
2081.0,78760034000.0,72095530000.0,121287100000.0
2082.0,75922970000.0,70320450000.0,118865450000.0
2083.0,72089110000.0,69382190000.0,115299750000.0
2084.0,70835990000.0,66330268000.0,111514124000.0
2085.0,68294775000.0,62849688000.0,109508575000.0
2086.0,67137770000.0,62462060000.0,107266320000.0
2087.0,63929827000.0,60914356000.0,104886170000.0
2088.0,61777890000.0,59380806000.0,102286860000.0
2089.0,59353117000.0,58330910000.0,100196820000.0
2090.0,56965610000.0,55473010000.0,95406500000.0
2091.0,54481170000.0,53895193000.0,91824380000.0
2092.0,52342430000.0,52363653000.0,88997430000.0
2093.0,50427965000.0,50169455000.0,84705880000.0
2094.0,49331690000.0,48038850000.0,82857350000.0
2095.0,47155745000.0,46333383000.0,79733770000.0
2096.0,44937980000.0,44898214000.0,75708620000.0
2097.0,43158282000.0,43491530000.0,72325050000.0
2098.0,41927897000.0,41672010000.0,69026180000.0
2099.0,39719465000.0,40347660000.0,66456166000.0
2100.0,38028630000.0,38547063000.0,63478440000.0
2101.0,36753880000.0,37457625000.0,61041790000.0
2102.0,34993820000.0,35773813000.0,59194642000.0
2103.0,33708702000.0,33855430000.0,56000803000.0
2104.0,32128053000.0,32533033000.0,53114847000.0
2105.0,30724186000.0,31664839000.0,49986638000.0
2106.0,28923447000.0,29995401000.0,47114590000.0
2107.0,27733959000.0,28962790000.0,44360106000.0
2108.0,26347778000.0,27303455000.0,41705226000.0
2109.0,25196570000.0,26240342000.0,39409467000.0
2110.0,24013734000.0,24725440000.0,36600890000.0
2111.0,22925810000.0,23288916000.0,33761708000.0
2112.0,21808250000.0,22237712000.0,30883504000.0
2113.0,20664280000.0,20956094000.0,28495420000.0
2114.0,19596190000.0,19870937000.0,25835010000.0
2115.0,18936103000.0,18935028000.0,23940385000.0
2116.0,18058959000.0,17652435000.0,22035999000.0
2117.0,17491237000.0,16666760000.0,19809907000.0
2118.0,16861475000.0,15604509000.0,17351076000.0
2119.0,16104975000.0,14340381000.0,15598998000.0
2120.0,15256825000.0,13033662000.0,13852793000.0
2121.0,14227501000.0,11948919000.0,12488184000.0
2122.0,13467953000.0,11500897000.0,10878755000.0
2123.0,12717174000.0,10420828000.0,9384707000.0
2124.0,12241955000.0,9718435000.0,8009489400.0
2125.0,11549220000.0,9037358000.0,6846179300.0
2126.0,10963476000.0,8162643500.0,5751942700.0
2127.0,10399892000.0,7420747300.0,5090929700.0
2128.0,9524479000.0,6923358700.0,4439494000.0
2129.0,8960781000.0,6128700400.0,3878674200.0
2130.0,8347961000.0,5660546600.0,3463897000.0
2131.0,7900267500.0,5118955500.0,2981582600.0
2132.0,7377207000.0,4686934000.0,2664395300.0
2133.0,6924153300.0,4122213000.0,2352133600.0
2134.0,6436512000.0,3792046300.0,2111716700.0
2135.0,5946634000.0,3558670800.0,1902492000.0
2136.0,5475456500.0,3278813400.0,1712650100.0
2137.0,4997180400.0,2944439300.0,1556180600.0
2138.0,4602818000.0,2676219400.0,1432883800.0
2139.0,4262045400.0,2432431900.0,1306925000.0
2140.0,3976020200.0,2173338400.0,1187689900.0
2141.0,3668978400.0,1960604000.0,1059766850.0
2142.0,3367370200.0,1775704200.0,902100030.0
2143.0,3004318200.0,1678828800.0,803017660.0
2144.0,2788699000.0,1601974000.0,671327500.0
2145.0,2577262000.0,1550683600.0,530595620.0
2146.0,2382221000.0,1463517200.0,421899460.0
2147.0,2126591600.0,1382795500.0,310042020.0
2148.0,1933981700.0,1268611000.0,230260270.0
2149.0,1821536600.0,1193613800.0,163732400.0
2150.0,1560218200.0,1120664700.0,127662270.0
2151.0,1360022700.0,1057019800.0,94603224.0
2152.0,1210978600.0,979397700.0,71176424.0
2153.0,1033519400.0,912736960.0,58141984.0
2154.0,848982850.0,837302200.0,54619788.0
2155.0,744521150.0,775517440.0,51332144.0
2156.0,652053100.0,698246000.0,49812450.0
2157.0,542710500.0,658804540.0,47976724.0
