time,CANESM5,ACCESS-ESM1-5,IPSL-CM6A-LR,MRI-ESM2-0,ACCESS-CM2,CESM2-WACCM
2000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0
2001.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0
2002.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0
2003.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0
2004.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0
2005.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0
2006.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0
2007.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0
2008.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0
2009.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0
2010.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0
2011.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0
2012.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0
2013.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0
2014.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0
2015.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0
2016.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0
2017.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0
2018.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0
2019.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0
2020.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0
2021.0,720865460000.0,716382400000.0,718167930000.0,714807440000.0,718455440000.0,719142000000.0
2022.0,752497460000.0,707115700000.0,710090300000.0,697995200000.0,711256900000.0,698258750000.0
2023.0,730548300000.0,689527060000.0,701327900000.0,684195840000.0,706030200000.0,675287660000.0
2024.0,703426000000.0,673015800000.0,684103240000.0,666810800000.0,691622800000.0,657737060000.0
2025.0,703628800000.0,656637950000.0,668466500000.0,653096850000.0,689147700000.0,637307260000.0
2026.0,684347200000.0,637658330000.0,655190260000.0,631277900000.0,680543600000.0,619624900000.0
2027.0,666369900000.0,613689900000.0,641043100000.0,616416940000.0,675564100000.0,606622840000.0
2028.0,647919200000.0,594395500000.0,623501840000.0,597997000000.0,665341460000.0,589965200000.0
2029.0,628041400000.0,582444100000.0,605374300000.0,584578600000.0,642947800000.0,571300640000.0
2030.0,622671500000.0,571022970000.0,600173840000.0,562011640000.0,628377200000.0,557824600000.0
2031.0,599953800000.0,555736240000.0,586261400000.0,542189600000.0,621283500000.0,545083820000.0
2032.0,582252900000.0,538370900000.0,572869100000.0,526637100000.0,618984960000.0,530794700000.0
2033.0,560818000000.0,520230040000.0,562103800000.0,511529000000.0,611323500000.0,514563400000.0
2034.0,547250570000.0,500652200000.0,546958000000.0,491348900000.0,588872400000.0,503917180000.0
2035.0,524408980000.0,482325860000.0,542366630000.0,472500960000.0,561924400000.0,502694100000.0
2036.0,512062900000.0,472116700000.0,536462980000.0,453195500000.0,544858960000.0,498143400000.0
2037.0,504724650000.0,453863930000.0,527437660000.0,441852500000.0,527994100000.0,483936600000.0
2038.0,481559100000.0,439927080000.0,518599200000.0,430665140000.0,513490030000.0,470826800000.0
2039.0,461385630000.0,432296100000.0,511651550000.0,413582330000.0,492332580000.0,459071700000.0
2040.0,454437700000.0,419523950000.0,504560680000.0,396922780000.0,465118270000.0,450657580000.0
2041.0,448251430000.0,409617600000.0,489526300000.0,376051370000.0,443352400000.0,442412560000.0
2042.0,435058640000.0,394458040000.0,473283560000.0,362075720000.0,423255280000.0,433271730000.0
2043.0,407554130000.0,378151930000.0,458031040000.0,348272720000.0,404356530000.0,420143070000.0
2044.0,387350660000.0,363930680000.0,446000660000.0,330478780000.0,384376730000.0,407567140000.0
2045.0,366908280000.0,349752400000.0,431406800000.0,316266500000.0,370533960000.0,393679200000.0
2046.0,351468200000.0,338119700000.0,418014720000.0,303508600000.0,355333960000.0,380003100000.0
2047.0,332199700000.0,329149900000.0,403207600000.0,289034930000.0,332438000000.0,361817470000.0
2048.0,311732000000.0,313130320000.0,388057860000.0,272351740000.0,312567400000.0,346489900000.0
2049.0,291352380000.0,300278320000.0,374716040000.0,260564470000.0,295638200000.0,336823840000.0
2050.0,274561530000.0,291923230000.0,359837140000.0,254869720000.0,276201600000.0,326846200000.0
2051.0,257127830000.0,278624140000.0,345081380000.0,247118940000.0,258709110000.0,316542980000.0
2052.0,241140630000.0,269924800000.0,332342430000.0,236650450000.0,248657870000.0,305905140000.0
2053.0,225091110000.0,258654010000.0,314625300000.0,225628980000.0,240458530000.0,292882150000.0
2054.0,215523620000.0,247755460000.0,301405470000.0,217492800000.0,232301000000.0,285101900000.0
2055.0,201328980000.0,238313570000.0,292219700000.0,207975270000.0,219476210000.0,278633480000.0
2056.0,193524940000.0,230914690000.0,280335320000.0,196461850000.0,210202640000.0,260174630000.0
2057.0,187677500000.0,219888240000.0,270558990000.0,188594520000.0,201636740000.0,248019910000.0
2058.0,177736320000.0,212353970000.0,259386330000.0,178867450000.0,193037250000.0,240200370000.0
2059.0,177885640000.0,201078060000.0,254289200000.0,177574510000.0,185131120000.0,228700980000.0
2060.0,169632420000.0,197299950000.0,240903850000.0,177154820000.0,172782600000.0,214495220000.0
2061.0,165682050000.0,190040380000.0,234851730000.0,173722000000.0,168217820000.0,201124430000.0
2062.0,160151760000.0,183093840000.0,228745720000.0,169733730000.0,161972220000.0,192124700000.0
2063.0,151210430000.0,179229870000.0,222503240000.0,165254330000.0,156239460000.0,188795670000.0
2064.0,145206180000.0,172584830000.0,211862260000.0,163107950000.0,149085420000.0,184797320000.0
2065.0,134387160000.0,165747050000.0,189617000000.0,156052700000.0,144141160000.0,180697610000.0
2066.0,125286680000.0,162707440000.0,166636340000.0,151437100000.0,138132980000.0,173009600000.0
2067.0,121970730000.0,152200350000.0,142749600000.0,145903500000.0,132861970000.0,165940510000.0
2068.0,113523760000.0,147759050000.0,127052730000.0,143551510000.0,128917910000.0,155534620000.0
2069.0,108074990000.0,142213050000.0,112177670000.0,137960730000.0,128960774000.0,154204550000.0
2070.0,101925536000.0,138654940000.0,106210845000.0,130394550000.0,122200730000.0,147172870000.0
2071.0,94365530000.0,132886060000.0,101174180000.0,128437210000.0,116609050000.0,138297590000.0
2072.0,88808860000.0,126484200000.0,93999480000.0,121986820000.0,109915070000.0,129044650000.0
2073.0,85129904000.0,122259320000.0,85137970000.0,118556120000.0,106781270000.0,121968120000.0
2074.0,81135470000.0,116227610000.0,80334520000.0,112136630000.0,103344546000.0,116810690000.0
2075.0,77159014000.0,112921670000.0,72760800000.0,107818950000.0,98002160000.0,114007080000.0
2076.0,78985270000.0,107735450000.0,71309574000.0,106263314000.0,92778190000.0,110633160000.0
2077.0,77525070000.0,101660934000.0,62947107000.0,101876680000.0,87490640000.0,105003090000.0
