time,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0,CESM2-WACCM
2095.0,144677540000.0,159612910000.0,174658700000.0,151200780000.0
2096.0,147881850000.0,156803800000.0,175931850000.0,153005030000.0
2097.0,149751000000.0,156003600000.0,179163230000.0,150931210000.0
2098.0,142237730000.0,156596520000.0,180556610000.0,150647000000.0
2099.0,139002530000.0,157219400000.0,183189030000.0,152714820000.0
2100.0,134697850000.0,156284390000.0,185562920000.0,152740800000.0
2101.0,126819370000.0,163277370000.0,186331040000.0,152021420000.0
2102.0,125364360000.0,169356530000.0,185646810000.0,153077890000.0
2103.0,123468960000.0,170600460000.0,184889080000.0,152698670000.0
2104.0,124380830000.0,178294600000.0,185767070000.0,150035580000.0
2105.0,125291600000.0,171711860000.0,186956530000.0,151086420000.0
2106.0,122185230000.0,177401680000.0,187837800000.0,151505040000.0
2107.0,117725970000.0,185190900000.0,190508650000.0,154464710000.0
2108.0,117010860000.0,186161970000.0,191541720000.0,155587560000.0
2109.0,119748260000.0,187646020000.0,193893530000.0,156365060000.0
2110.0,126232620000.0,197668200000.0,193967060000.0,156692820000.0
2111.0,125210380000.0,192073710000.0,192369280000.0,157825630000.0
2112.0,128392150000.0,193064800000.0,191979440000.0,158549020000.0
2113.0,125945815000.0,191357860000.0,189683660000.0,160539160000.0
2114.0,123450974000.0,190803460000.0,197940220000.0,161324780000.0
2115.0,129203730000.0,188115860000.0,202427880000.0,163649180000.0
2116.0,136135290000.0,205371570000.0,201963880000.0,166796660000.0
2117.0,137482830000.0,201905640000.0,200855670000.0,168825060000.0
2118.0,135453870000.0,201060090000.0,200173130000.0,169188720000.0
2119.0,134097050000.0,199958460000.0,203585270000.0,175744660000.0
2120.0,137703820000.0,203622710000.0,209115700000.0,175907880000.0
2121.0,141348880000.0,202785980000.0,211158600000.0,177472750000.0
2122.0,138639070000.0,199463930000.0,213522800000.0,177746740000.0
2123.0,135924260000.0,204005920000.0,214382480000.0,180288540000.0
2124.0,136317485000.0,197264800000.0,211924160000.0,182593360000.0
2125.0,142139360000.0,195489680000.0,213795450000.0,182926740000.0
2126.0,144019300000.0,200023980000.0,214819210000.0,184248120000.0
2127.0,146874380000.0,204985240000.0,217769350000.0,185035400000.0
2128.0,149204980000.0,210057660000.0,217065670000.0,182281910000.0
2129.0,154336720000.0,205091360000.0,222504000000.0,182870200000.0
2130.0,158991930000.0,199943140000.0,227610740000.0,183119890000.0
2131.0,163586720000.0,213549320000.0,228619910000.0,183657530000.0
2132.0,165637200000.0,211065880000.0,230950240000.0,186815920000.0
2133.0,167456740000.0,220184840000.0,232442410000.0,184858440000.0
2134.0,170008950000.0,228819040000.0,233429140000.0,186371010000.0
2135.0,169798400000.0,226430800000.0,237829320000.0,187703950000.0
2136.0,169898260000.0,234089050000.0,239926950000.0,189184570000.0
2137.0,171015180000.0,238179070000.0,244071530000.0,187063010000.0
2138.0,171608380000.0,234809920000.0,248817730000.0,187601200000.0
2139.0,171122720000.0,235330390000.0,251975990000.0,187643350000.0
2140.0,174058100000.0,228535100000.0,252673970000.0,186683720000.0
2141.0,175025390000.0,229572500000.0,252188180000.0,185403700000.0
2142.0,176566270000.0,231084310000.0,254518230000.0,187054780000.0
2143.0,177601500000.0,226809560000.0,258594730000.0,189461950000.0
2144.0,179030330000.0,227522330000.0,254896340000.0,190562880000.0
2145.0,185087250000.0,231354610000.0,259204740000.0,188791240000.0
2146.0,189815280000.0,236228620000.0,258016510000.0,188971970000.0
2147.0,192525880000.0,233361150000.0,261111090000.0,190372840000.0
2148.0,195509780000.0,235957930000.0,263924730000.0,188079750000.0
2149.0,200203850000.0,247762880000.0,271780410000.0,186857030000.0
2150.0,203090400000.0,248240300000.0,275901150000.0,188012430000.0
2151.0,206018150000.0,262700940000.0,269474300000.0,190285680000.0
2152.0,207348090000.0,284566500000.0,265040480000.0,188070630000.0
2153.0,210212180000.0,288013000000.0,269062570000.0,187415280000.0
2154.0,212512160000.0,283257100000.0,267878810000.0,185755200000.0
2155.0,215703760000.0,283418460000.0,269955730000.0,187279020000.0
2156.0,216480860000.0,277228880000.0,266845860000.0,186893710000.0
2157.0,220638700000.0,274016370000.0,267945300000.0,190703670000.0
2158.0,222822550000.0,271151730000.0,270178700000.0,191686950000.0
2159.0,227662820000.0,279049830000.0,273849370000.0,196307190000.0
2160.0,231451530000.0,293080330000.0,272807070000.0,198922530000.0
2161.0,235106220000.0,309738930000.0,281074340000.0,198214220000.0
2162.0,236800410000.0,301686800000.0,288942030000.0,201267940000.0
2163.0,236942230000.0,308804940000.0,295307020000.0,203973360000.0
2164.0,237529830000.0,311646680000.0,297814330000.0,203779260000.0
2165.0,243170380000.0,307801980000.0,294886870000.0,206394570000.0
2166.0,246401140000.0,306240260000.0,300474300000.0,206033860000.0
2167.0,252676400000.0,310921170000.0,301791900000.0,203096700000.0
2168.0,254289280000.0,312649400000.0,304736900000.0,204709450000.0
2169.0,262850790000.0,313897900000.0,304034940000.0,203326960000.0
2170.0,259109370000.0,315555480000.0,310697460000.0,203253240000.0
2171.0,257325000000.0,317064000000.0,312597680000.0,203106630000.0
2172.0,258197570000.0,325054430000.0,317475260000.0,201924430000.0
2173.0,260133110000.0,319655540000.0,322810540000.0,205408200000.0
2174.0,262664680000.0,327057080000.0,324447040000.0,208075620000.0
2175.0,258209050000.0,335014360000.0,325157160000.0,207624880000.0
2176.0,257714140000.0,347749320000.0,329953500000.0,213315880000.0
2177.0,254757320000.0,349880880000.0,332436000000.0,210354750000.0
2178.0,259628340000.0,352348400000.0,330517450000.0,209256530000.0
2179.0,260129490000.0,363958300000.0,333007880000.0,210733510000.0
2180.0,263274940000.0,361627500000.0,334484600000.0,207596440000.0
2181.0,263421620000.0,356917670000.0,337314220000.0,206813640000.0
2182.0,261272900000.0,366747700000.0,337886200000.0,205294390000.0
2183.0,264663900000.0,384574160000.0,342188920000.0,207053950000.0
2184.0,265563770000.0,384929630000.0,346328400000.0,207676880000.0
2185.0,269336200000.0,396728430000.0,343427840000.0,212601730000.0
2186.0,266810260000.0,406432870000.0,341321650000.0,212773200000.0
2187.0,271282270000.0,406277100000.0,339766350000.0,213443530000.0
2188.0,269352860000.0,395196960000.0,339625440000.0,212796570000.0
2189.0,277714700000.0,388023800000.0,344854900000.0,216341920000.0
2190.0,283145900000.0,382031300000.0,342058930000.0,215656730000.0
2191.0,286549050000.0,392676700000.0,341440950000.0,210910970000.0
2192.0,285856560000.0,381791000000.0,339614140000.0,207442070000.0
2193.0,288287520000.0,374836260000.0,343126050000.0,206425460000.0
2194.0,289067000000.0,371384800000.0,348757230000.0,204157570000.0
2195.0,286642300000.0,375181400000.0,354037070000.0,201584700000.0
2196.0,287924680000.0,372878480000.0,356645370000.0,201142700000.0
2197.0,287024840000.0,375901000000.0,357699450000.0,197065440000.0
2198.0,285263000000.0,378635980000.0,354518830000.0,195708420000.0
2199.0,286666300000.0,379966000000.0,354322350000.0,190706470000.0
2200.0,285942480000.0,379299230000.0,353176550000.0,192655920000.0
2201.0,287508530000.0,370087760000.0,352667240000.0,192654180000.0
2202.0,284603350000.0,373552500000.0,355126100000.0,189932910000.0
2203.0,282380470000.0,364795070000.0,355429200000.0,191725910000.0
2204.0,282205520000.0,360084200000.0,356821760000.0,190449340000.0
2205.0,281956300000.0,354243380000.0,358877360000.0,188367600000.0
2206.0,282366150000.0,340709570000.0,356308200000.0,188021100000.0
2207.0,279233720000.0,335361500000.0,354093270000.0,185942300000.0
2208.0,280890470000.0,326618940000.0,347768980000.0,185730840000.0
2209.0,283950250000.0,348491060000.0,349988130000.0,185104420000.0
2210.0,282556660000.0,341694300000.0,352896650000.0,183191220000.0
2211.0,284559250000.0,337827400000.0,347082130000.0,183876850000.0
2212.0,291684970000.0,330140480000.0,347228700000.0,185314540000.0
2213.0,295687720000.0,336483900000.0,356446200000.0,186602500000.0
2214.0,293176900000.0,326317600000.0,356803400000.0,189690230000.0
2215.0,291625370000.0,323155130000.0,355526020000.0,192491040000.0
2216.0,288575850000.0,319143740000.0,351711630000.0,190539480000.0
2217.0,294314080000.0,329753100000.0,345511300000.0,192869520000.0
2218.0,294597850000.0,324307850000.0,339877000000.0,193316980000.0
2219.0,297114300000.0,317958500000.0,337077630000.0,193615050000.0
2220.0,303313940000.0,315901600000.0,341063860000.0,196379360000.0
2221.0,298943480000.0,311036400000.0,338168280000.0,197991170000.0
2222.0,302762200000.0,317863600000.0,342295100000.0,196516560000.0
2223.0,302381470000.0,325856760000.0,337997400000.0,192623620000.0
2224.0,307109300000.0,323937440000.0,337710120000.0,192724480000.0
2225.0,306066800000.0,329119070000.0,337487600000.0,191262520000.0
2226.0,300721100000.0,355521330000.0,340155900000.0,191003740000.0
2227.0,307498250000.0,355319380000.0,342833460000.0,190647290000.0
2228.0,308163740000.0,355363980000.0,344266050000.0,189339900000.0
2229.0,308450000000.0,354232100000.0,350021000000.0,192114700000.0
2230.0,307813020000.0,359856050000.0,344018350000.0,193744190000.0
2231.0,306063570000.0,358206050000.0,340972600000.0,195496020000.0
2232.0,303144100000.0,356901750000.0,347264120000.0,197078960000.0
2233.0,308035520000.0,368748100000.0,339374640000.0,194837920000.0
2234.0,307222800000.0,368182530000.0,343742020000.0,194064290000.0
2235.0,308539260000.0,363287120000.0,349776150000.0,192420540000.0
2236.0,308359800000.0,361239150000.0,352543340000.0,190557830000.0
2237.0,304932650000.0,355081980000.0,355716240000.0,190282560000.0
2238.0,301820250000.0,353131040000.0,348399340000.0,191534840000.0
2239.0,299508330000.0,353637300000.0,347404340000.0,189712090000.0
2240.0,297059200000.0,364259050000.0,349342270000.0,191719590000.0
2241.0,293785700000.0,365013800000.0,346499650000.0,193313420000.0
2242.0,294805240000.0,360781870000.0,344829760000.0,199187050000.0
2243.0,298906120000.0,360649820000.0,351578550000.0,198917210000.0
2244.0,297866330000.0,361502670000.0,354029080000.0,200006840000.0
2245.0,298128300000.0,365017960000.0,354004000000.0,196212880000.0
2246.0,299283680000.0,375735800000.0,353748000000.0,194733330000.0
2247.0,303433800000.0,378243320000.0,352594130000.0,194599780000.0
2248.0,302020400000.0,381154500000.0,353709950000.0,191914590000.0
2249.0,301955300000.0,382596970000.0,362400970000.0,190901440000.0
2250.0,302997670000.0,380977600000.0,366269800000.0,190661210000.0
2251.0,302249570000.0,379317520000.0,372730760000.0,192432570000.0
2252.0,311351050000.0,384606540000.0,373198800000.0,196202280000.0
2253.0,311932520000.0,384755140000.0,381377050000.0,195655060000.0
2254.0,307394940000.0,391185920000.0,382545170000.0,192564970000.0
2255.0,304362360000.0,398242740000.0,379407070000.0,193808480000.0
2256.0,303985950000.0,390546650000.0,388399170000.0,192850170000.0
2257.0,304775460000.0,386588640000.0,392614940000.0,191813270000.0
2258.0,301605650000.0,394770480000.0,393590470000.0,191427280000.0
2259.0,297357000000.0,387802430000.0,398747200000.0,191113610000.0
2260.0,299071670000.0,398076200000.0,409133680000.0,185295550000.0
