time,MRI-ESM2-0,IPSL-CM6A-LR,CANESM5,CESM2-WACCM
2000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0
2001.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0
2002.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0
2003.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0
2004.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0
2005.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0
2006.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0
2007.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0
2008.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0
2009.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0
2010.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0
2011.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0
2012.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0
2013.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0
2014.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0
2015.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0
2016.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0
2017.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0
2018.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0
2019.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0
2020.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0
2021.0,18116700000000.0,18082534000000.0,18061088000000.0,18058270000000.0
2022.0,18057315000000.0,17935119000000.0,17996274000000.0,17843807000000.0
2023.0,17894344000000.0,17826421000000.0,17868727000000.0,17686596000000.0
2024.0,17762097000000.0,17723705000000.0,17751951000000.0,17545057000000.0
2025.0,17619010000000.0,17541325000000.0,17690430000000.0,17384767000000.0
2026.0,17512626000000.0,17454567000000.0,17649654000000.0,17208319000000.0
2027.0,17414580000000.0,17371266000000.0,17540584000000.0,16988740000000.0
2028.0,17348134000000.0,17222254000000.0,17480792000000.0,16759143000000.0
2029.0,17209481000000.0,17058742000000.0,17335078000000.0,16632455000000.0
2030.0,17162019000000.0,16859802000000.0,17204563000000.0,16542491000000.0
2031.0,16918512000000.0,16602140000000.0,17067156000000.0,16422180000000.0
2032.0,16765680000000.0,16489121000000.0,16878594000000.0,16314792000000.0
2033.0,16623602000000.0,16406500000000.0,16785650000000.0,16191315000000.0
2034.0,16550674000000.0,16300528000000.0,16616569000000.0,16001072000000.0
2035.0,16502376000000.0,16221283000000.0,16495794000000.0,15792826000000.0
2036.0,16400088000000.0,16136644000000.0,16359336000000.0,15659357000000.0
2037.0,16285417000000.0,15992404000000.0,16174757000000.0,15474342000000.0
2038.0,16051869000000.0,15809104000000.0,16104262000000.0,15232199000000.0
2039.0,15853759000000.0,15687336000000.0,15993334000000.0,15091654000000.0
2040.0,15630099000000.0,15498911000000.0,15806856000000.0,15019231000000.0
2041.0,15422714000000.0,15317347000000.0,15682148000000.0,14816594000000.0
2042.0,15214697000000.0,15149822000000.0,15464537000000.0,14548675000000.0
2043.0,15046703000000.0,14937226000000.0,15304881000000.0,14373745000000.0
2044.0,14924827000000.0,14771160000000.0,15152165000000.0,14175168000000.0
2045.0,14756207000000.0,14559975000000.0,15035584000000.0,13961220000000.0
2046.0,14672645000000.0,14367404000000.0,14850063000000.0,13734653000000.0
2047.0,14538131000000.0,14195022000000.0,14683842000000.0,13525464000000.0
2048.0,14387844000000.0,14098581000000.0,14503810000000.0,13277772000000.0
2049.0,14282208000000.0,13883981000000.0,14416617000000.0,13039472000000.0
2050.0,14035917000000.0,13635357000000.0,14283869000000.0,12859750000000.0
2051.0,13861567000000.0,13456880000000.0,14140961000000.0,12657768000000.0
2052.0,13796939000000.0,13255776000000.0,13931129000000.0,12373983000000.0
2053.0,13670122000000.0,13165276000000.0,13730385000000.0,12105790000000.0
2054.0,13540073000000.0,13013533000000.0,13629817000000.0,11907394000000.0
2055.0,13389873000000.0,12829248000000.0,13446496000000.0,11676682000000.0
2056.0,13248750000000.0,12642044000000.0,13310858000000.0,11372222000000.0
2057.0,13082311000000.0,12524776000000.0,13115021000000.0,11062885000000.0
2058.0,12925283000000.0,12275001000000.0,12885182000000.0,10797838000000.0
2059.0,12812610000000.0,12087940000000.0,12661363000000.0,10614197000000.0
2060.0,12684330000000.0,11946157000000.0,12410925000000.0,10433263000000.0
2061.0,12548409000000.0,11779670000000.0,12239144000000.0,10251167000000.0
2062.0,12413516000000.0,11574417000000.0,12056199000000.0,10032645000000.0
2063.0,12300039000000.0,11379399000000.0,11815833000000.0,9821471000000.0
2064.0,12130244000000.0,11266522000000.0,11640936000000.0,9622174000000.0
2065.0,12035550000000.0,11066000000000.0,11471717000000.0,9452308000000.0
2066.0,11953086000000.0,10973483000000.0,11277640000000.0,9313287000000.0
2067.0,11810843000000.0,10893240000000.0,11140618000000.0,9193945000000.0
2068.0,11763671000000.0,10767980000000.0,11010298000000.0,9071476000000.0
2069.0,11664210000000.0,10583550000000.0,10860713000000.0,8869066000000.0
2070.0,11652846000000.0,10504807000000.0,10685309000000.0,8726886500000.0
2071.0,11562622000000.0,10426768000000.0,10566236000000.0,8559029400000.0
2072.0,11385949000000.0,10235977000000.0,10424351000000.0,8396685700000.0
2073.0,11284589000000.0,10126180000000.0,10313960000000.0,8196972000000.0
2074.0,11200570000000.0,9994358000000.0,10181543000000.0,8043396000000.0
2075.0,11119520000000.0,9817115000000.0,10059974000000.0,7930854000000.0
2076.0,11020374000000.0,9690483000000.0,9891185000000.0,7827343500000.0
2077.0,10908426000000.0,9639093000000.0,9742378000000.0,7672940000000.0
2078.0,10841935000000.0,9559784000000.0,9641969000000.0,7515988000000.0
2079.0,10736017000000.0,9412264000000.0,9548222000000.0,7369829000000.0
2080.0,10592664000000.0,9347208000000.0,9484401000000.0,7236132000000.0
2081.0,10527649000000.0,9308851000000.0,9354302000000.0,7145950000000.0
2082.0,10391153000000.0,9171603000000.0,9279319000000.0,7029792000000.0
2083.0,10335754000000.0,9038046000000.0,9172984000000.0,6909988000000.0
2084.0,10285629000000.0,8965095000000.0,9059714000000.0,6836499500000.0
2085.0,10215388000000.0,8925478000000.0,9011541000000.0,6696123000000.0
2086.0,10162058000000.0,8864738000000.0,8966126000000.0,6618365300000.0
2087.0,10082418000000.0,8757549500000.0,8885903000000.0,6507769400000.0
2088.0,10010281000000.0,8675456500000.0,8713834300000.0,6375930300000.0
2089.0,9952258000000.0,8609598500000.0,8634873400000.0,6344097000000.0
2090.0,9943721000000.0,8556896600000.0,8545743000000.0,6305839300000.0
2091.0,9956602000000.0,8478775000000.0,8497435500000.0,6223352600000.0
2092.0,9896792000000.0,8394998000000.0,8459356500000.0,6161829000000.0
2093.0,9856657000000.0,8343686000000.0,8402390000000.0,6140868000000.0
2094.0,9802714000000.0,8322988000000.0,8328211000000.0,6095402000000.0
2095.0,9786321000000.0,8233399400000.0,8248769000000.0,6053182000000.0
2096.0,9766794000000.0,8178693000000.0,8204513000000.0,6024026700000.0
2097.0,9735018000000.0,8167931500000.0,8190411000000.0,5990879000000.0
2098.0,9707795000000.0,8105706400000.0,8169886000000.0,5994607000000.0
2099.0,9684019000000.0,8055052000000.0,8113001000000.0,5958863400000.0
2100.0,9672209000000.0,8021835000000.0,8031058300000.0,5903496500000.0
2101.0,9674266000000.0,7952450700000.0,7961511500000.0,5884985000000.0
2102.0,9610442000000.0,7951124300000.0,7927754700000.0,5858859700000.0
2103.0,9590254000000.0,7908684700000.0,7871680000000.0,5867269000000.0
2104.0,9605866000000.0,7850481400000.0,7816304000000.0,5836089300000.0
2105.0,9596785000000.0,7822103300000.0,7768226400000.0,5784693400000.0
2106.0,9601118000000.0,7789965000000.0,7691111000000.0,5751588000000.0
2107.0,9643076000000.0,7763439600000.0,7662302400000.0,5754706700000.0
2108.0,9629228000000.0,7723225700000.0,7632278000000.0,5734125000000.0
2109.0,9655542000000.0,7658049400000.0,7584440400000.0,5720733000000.0
2110.0,9629192000000.0,7659704000000.0,7558354000000.0,5746700000000.0
2111.0,9621025000000.0,7611065300000.0,7525789300000.0,5764528000000.0
2112.0,9642267000000.0,7579745000000.0,7487509500000.0,5756329000000.0
2113.0,9602250000000.0,7562814600000.0,7472960000000.0,5745331000000.0
2114.0,9623586000000.0,7504015700000.0,7443062000000.0,5729525000000.0
2115.0,9609114000000.0,7464267000000.0,7407708700000.0,5725830500000.0
2116.0,9595712000000.0,7465434300000.0,7416188500000.0,5718196000000.0
2117.0,9598141000000.0,7473802500000.0,7417525000000.0,5713523000000.0
2118.0,9614784000000.0,7487694600000.0,7409934300000.0,5721430000000.0
2119.0,9646756000000.0,7460869400000.0,7378410400000.0,5732832400000.0
2120.0,9663303000000.0,7429482300000.0,7343718300000.0,5728390600000.0
2121.0,9608509000000.0,7434644000000.0,7309058000000.0,5744959700000.0
2122.0,9612978000000.0,7437811000000.0,7288509000000.0,5759120000000.0
2123.0,9621518000000.0,7441247400000.0,7301676700000.0,5765485600000.0
2124.0,9632848000000.0,7457365600000.0,7299130700000.0,5777963000000.0
2125.0,9621276000000.0,7466107500000.0,7261599000000.0,5744538000000.0
2126.0,9600295000000.0,7458875500000.0,7271018400000.0,5757077600000.0
2127.0,9650267000000.0,7481075000000.0,7243657000000.0,5722024700000.0
2128.0,9661059000000.0,7472273000000.0,7215983400000.0,5727605000000.0
2129.0,9715047000000.0,7480431600000.0,7246181300000.0,5718610000000.0
2130.0,9697155000000.0,7471094600000.0,7207642500000.0,5745876000000.0
2131.0,9765833000000.0,7434658000000.0,7190620000000.0,5736721000000.0
2132.0,9835525000000.0,7428136500000.0,7136986300000.0,5743965000000.0
2133.0,9826369000000.0,7426802700000.0,7126346400000.0,5744030600000.0
2134.0,9867515000000.0,7416018600000.0,7114238000000.0,5752156000000.0
2135.0,9925127000000.0,7375623300000.0,7118260300000.0,5770161000000.0
2136.0,9959062000000.0,7368249000000.0,7101518000000.0,5801950300000.0
2137.0,9993598000000.0,7384803000000.0,7100016600000.0,5825095500000.0
2138.0,9984621000000.0,7395787000000.0,7070319400000.0,5853211000000.0
2139.0,10007563000000.0,7385840600000.0,7073540600000.0,5832603300000.0
2140.0,10040093000000.0,7401388000000.0,7076940000000.0,5857007400000.0
2141.0,10071935000000.0,7407773700000.0,7052044300000.0,5842357700000.0
2142.0,10089804000000.0,7431051000000.0,7060448600000.0,5842787600000.0
2143.0,10117499000000.0,7416010000000.0,7053063500000.0,5813543400000.0
2144.0,10126746000000.0,7414159500000.0,7005386300000.0,5804081500000.0
2145.0,10161890000000.0,7435587000000.0,6988562400000.0,5831091000000.0
2146.0,10177839000000.0,7441611000000.0,6961803000000.0,5821511000000.0
2147.0,10178198000000.0,7435620700000.0,6934793000000.0,5820228000000.0
2148.0,10204229000000.0,7403753400000.0,6926208300000.0,5810956500000.0
2149.0,10185433000000.0,7393937700000.0,6943255600000.0,5857008000000.0
2150.0,10207576000000.0,7393416000000.0,6978955400000.0,5885248000000.0
2151.0,10208187000000.0,7412885500000.0,6969177400000.0,5897399600000.0
2152.0,10214045000000.0,7380162600000.0,6992074000000.0,5862205700000.0
2153.0,10225549000000.0,7363343000000.0,7002235300000.0,5847634700000.0
2154.0,10275879000000.0,7371469000000.0,7012949700000.0,5849940000000.0
2155.0,10291762000000.0,7379999000000.0,6992902000000.0,5857671000000.0
2156.0,10324031000000.0,7357777600000.0,6992532000000.0,5849161000000.0
2157.0,10341594000000.0,7349670500000.0,6987978400000.0,5866406000000.0
2158.0,10378761000000.0,7358108000000.0,6966946000000.0,5867243000000.0
2159.0,10401391000000.0,7362964000000.0,6937025400000.0,5877394000000.0
2160.0,10458780000000.0,7345676000000.0,6982624000000.0,5887914700000.0
2161.0,10510364000000.0,7351220000000.0,6969737300000.0,5894177300000.0
2162.0,10513362000000.0,7349299300000.0,6975699000000.0,5902790000000.0
2163.0,10538046000000.0,7354426300000.0,6977007000000.0,5913741600000.0
2164.0,10561269000000.0,7334467000000.0,6970962600000.0,5903124300000.0
2165.0,10583618000000.0,7334120000000.0,6944830500000.0,5914495500000.0
2166.0,10601988000000.0,7340432000000.0,6973153000000.0,5918141400000.0
2167.0,10660172000000.0,7342031000000.0,6969286500000.0,5927907400000.0
2168.0,10704955000000.0,7319293000000.0,6952368000000.0,5920293000000.0
2169.0,10722654000000.0,7333166000000.0,6964871000000.0,5908271000000.0
2170.0,10800677000000.0,7326785300000.0,6955225000000.0,5886307700000.0
2171.0,10811094000000.0,7324165500000.0,6933012000000.0,5935804700000.0
2172.0,10839412000000.0,7305585000000.0,6933209700000.0,5914431600000.0
2173.0,10870197000000.0,7303975000000.0,6946024300000.0,5922123400000.0
2174.0,10906102000000.0,7321111500000.0,6951973000000.0,5901160000000.0
2175.0,10895896000000.0,7298820000000.0,6958469300000.0,5898047600000.0
2176.0,10972129000000.0,7276836000000.0,6963838600000.0,5858966600000.0
2177.0,11036489000000.0,7286420400000.0,6953640700000.0,5825525400000.0
2178.0,11089146000000.0,7269791000000.0,6929914500000.0,5882358000000.0
2179.0,11089369000000.0,7237819000000.0,6909296400000.0,5908915600000.0
2180.0,11104961000000.0,7251858000000.0,6884159400000.0,5895321300000.0
2181.0,11129542000000.0,7203400000000.0,6907040400000.0,5895388000000.0
2182.0,11181747000000.0,7212568000000.0,6941799600000.0,5900877000000.0
2183.0,11224349000000.0,7205733000000.0,6943629000000.0,5902819000000.0
2184.0,11213711000000.0,7196603000000.0,6980252500000.0,5910446500000.0
2185.0,11245914000000.0,7154929000000.0,6992768000000.0,5907416600000.0
2186.0,11329986000000.0,7132518000000.0,6986148600000.0,5916817600000.0
2187.0,11376061000000.0,7136541700000.0,6970105000000.0,5935711000000.0
2188.0,11429014000000.0,7143183400000.0,6953311000000.0,5948282000000.0
2189.0,11493222000000.0,7160089500000.0,6930765400000.0,5930169700000.0
2190.0,11552891000000.0,7157128400000.0,6929048000000.0,5954854700000.0
2191.0,11612082000000.0,7170091400000.0,6915202500000.0,5963951600000.0
2192.0,11686495000000.0,7196097000000.0,6913607600000.0,5960744000000.0
2193.0,11721684000000.0,7235015500000.0,6922629500000.0,5970468500000.0
2194.0,11725384000000.0,7244870600000.0,6937141300000.0,5956231000000.0
2195.0,11793739000000.0,7215002400000.0,6950528500000.0,5983939600000.0
2196.0,11896318000000.0,7251104400000.0,6954097000000.0,5972055000000.0
2197.0,11928935000000.0,7334217000000.0,6975697500000.0,5956895000000.0
2198.0,11924723000000.0,7375833500000.0,6985425600000.0,5980477000000.0
2199.0,11900001000000.0,7393391000000.0,6986440000000.0,5978184000000.0
2200.0,11896067000000.0,7413228400000.0,6957626300000.0,5965687600000.0
2201.0,11941469000000.0,7449687400000.0,6942103000000.0,5935026700000.0
2202.0,11988414000000.0,7420929600000.0,6924771300000.0,5916970700000.0
2203.0,11979935000000.0,7383642300000.0,6928715500000.0,5875439000000.0
2204.0,11989064000000.0,7408399000000.0,6974597000000.0,5878416700000.0
2205.0,12004062000000.0,7385860500000.0,6957387000000.0,5851578000000.0
2206.0,12017868000000.0,7404726000000.0,6965448700000.0,5856973000000.0
2207.0,12036631000000.0,7398716000000.0,6958170000000.0,5850382500000.0
2208.0,12022839000000.0,7443465000000.0,6965280400000.0,5854449000000.0
2209.0,12067066000000.0,7411819600000.0,6950154000000.0,5838459600000.0
2210.0,12084271000000.0,7407722000000.0,6945899500000.0,5841150000000.0
2211.0,12150061000000.0,7405717000000.0,6946081000000.0,5833844300000.0
2212.0,12215660000000.0,7449947400000.0,6981443000000.0,5815628000000.0
2213.0,12232605000000.0,7443253000000.0,6969549700000.0,5836674000000.0
2214.0,12300290000000.0,7445904600000.0,6973085000000.0,5815986600000.0
2215.0,12270357000000.0,7461917400000.0,6990755500000.0,5776083500000.0
2216.0,12310042000000.0,7455366400000.0,7004991000000.0,5798904700000.0
2217.0,12382423000000.0,7472375400000.0,6997843000000.0,5799079000000.0
2218.0,12352487000000.0,7491065000000.0,6992705000000.0,5773025000000.0
2219.0,12355420000000.0,7515387000000.0,6983351500000.0,5773349000000.0
2220.0,12314495000000.0,7515902000000.0,7000325000000.0,5745925400000.0
2221.0,12333555000000.0,7558699000000.0,6992037400000.0,5738594300000.0
2222.0,12401720000000.0,7564428000000.0,7001321000000.0,5709525000000.0
2223.0,12401087000000.0,7555221000000.0,6978447300000.0,5694243000000.0
2224.0,12375984000000.0,7601421500000.0,6986497000000.0,5682209000000.0
