time,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0
2000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0
2001.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0
2002.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0
2003.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0
2004.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0
2005.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0
2006.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0
2007.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0
2008.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0
2009.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0
2010.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0
2011.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0
2012.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0
2013.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0
2014.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0
2015.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0
2016.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0
2017.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0
2018.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0
2019.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0
2020.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0
2021.0,18060384000000.0,17990890000000.0,18058270000000.0,18082534000000.0,18061088000000.0,18116700000000.0
2022.0,17950600000000.0,17864670000000.0,17843807000000.0,17935119000000.0,17996274000000.0,18057315000000.0
2023.0,17706355000000.0,17816428000000.0,17686596000000.0,17826421000000.0,17868727000000.0,17894344000000.0
2024.0,17586883000000.0,17585926000000.0,17545057000000.0,17723705000000.0,17751951000000.0,17762097000000.0
2025.0,17479010000000.0,17496053000000.0,17384767000000.0,17541325000000.0,17690430000000.0,17619010000000.0
2026.0,17367324000000.0,17358961000000.0,17208319000000.0,17454567000000.0,17649654000000.0,17512626000000.0
2027.0,17248764000000.0,17234704000000.0,16988740000000.0,17371266000000.0,17540584000000.0,17414580000000.0
2028.0,17129938000000.0,17080649000000.0,16759143000000.0,17222254000000.0,17480792000000.0,17348134000000.0
2029.0,16991921000000.0,16849055000000.0,16632455000000.0,17058742000000.0,17335078000000.0,17209481000000.0
2030.0,16754031000000.0,16661014000000.0,16542491000000.0,16859802000000.0,17204563000000.0,17162019000000.0
2031.0,16563238000000.0,16555638000000.0,16423392000000.0,16601037000000.0,17065365000000.0,16919270000000.0
2032.0,16423581000000.0,16428998000000.0,16317329000000.0,16488321000000.0,16875776000000.0,16766855000000.0
