time,CESM1-CAM5,MPI-ESM-LR,CANESM2
2000.0,1023126000000.0,1022981000000.0,1023126000000.0
2001.0,1016465300000.0,1016321540000.0,1016465300000.0
2002.0,1014436900000.0,1014306440000.0,1014436900000.0
2003.0,1006492000000.0,1006362360000.0,1006492000000.0
2004.0,999308300000.0,999180100000.0,999308300000.0
2005.0,986141300000.0,986008000000.0,986141300000.0
2006.0,982813900000.0,982672800000.0,982813900000.0
2007.0,972127540000.0,971992400000.0,972127540000.0
2008.0,975897000000.0,975768300000.0,975897000000.0
2009.0,970234600000.0,970098700000.0,970234600000.0
2010.0,956573940000.0,956431400000.0,956573940000.0
2011.0,951373400000.0,951221800000.0,951373400000.0
2012.0,953487500000.0,953332800000.0,953487500000.0
2013.0,949656940000.0,949512500000.0,949656940000.0
2014.0,928923700000.0,928787600000.0,928923700000.0
2015.0,915110360000.0,914969850000.0,915110360000.0
2016.0,897954350000.0,897817250000.0,897954350000.0
2017.0,886827100000.0,886687300000.0,886827100000.0
2018.0,876229400000.0,876085700000.0,876229400000.0
2019.0,868895300000.0,868747840000.0,868895300000.0
2020.0,853284000000.0,853130150000.0,853284000000.0
2021.0,832708000000.0,834636600000.0,844005200000.0
2022.0,833053660000.0,816033370000.0,828492350000.0
2023.0,827048500000.0,808868640000.0,805586300000.0
2024.0,808061400000.0,787563350000.0,784962600000.0
2025.0,792613600000.0,787432300000.0,776983100000.0
2026.0,779842800000.0,774519000000.0,765115700000.0
2027.0,762722250000.0,751062000000.0,747465340000.0
2028.0,739218000000.0,733548640000.0,734861400000.0
2029.0,712814600000.0,720201840000.0,704972400000.0
2030.0,687590700000.0,712001200000.0,687345430000.0
2031.0,672420000000.0,705441230000.0,677106160000.0
2032.0,668335100000.0,694719400000.0,667718700000.0
2033.0,641793500000.0,685829300000.0,646664360000.0
2034.0,617309300000.0,679018040000.0,620673800000.0
2035.0,598895400000.0,665230250000.0,592168350000.0
2036.0,580923950000.0,650114760000.0,572168670000.0
2037.0,566286800000.0,632094200000.0,557573100000.0
2038.0,546020720000.0,621860750000.0,542126600000.0
2039.0,524493620000.0,599756830000.0,524150830000.0
